
2018-05-11 23:58:23	http://021shlf.com
http://021shlf.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://021shlf.com	成功收听	124360
http://021shlf.com	124360	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://021shlf.com	124360	无任何返回结果，大多数情况下为发送成功
http://021shlf.com	124360	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://021shlf.com	成功收听	883938
http://021shlf.com	883938	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://021shlf.com	883938	无任何返回结果，大多数情况下为发送成功
http://021shlf.com	883938	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://021shlf.com	成功收听	1529016
http://021shlf.com	1529016	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://021shlf.com	1529016	无任何返回结果，大多数情况下为发送成功
http://021shlf.com	1529016	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://021shlf.com	成功收听	1529157
http://021shlf.com	1529157	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://021shlf.com	1529157	无任何返回结果，大多数情况下为发送成功
http://021shlf.com	1529157	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://021shlf.com	成功收听	1529206
http://021shlf.com	1529206	已发送行吗下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://021shlf.com	1529206	无任何返回结果，大多数情况下为发送成功
http://021shlf.com	1529206	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
