
2018-05-11 23:58:31	http://51uumz.com
http://51uumz.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://51uumz.com	成功收听	821443
http://51uumz.com	821443	无任何返回结果，大多数情况下为发送成功
http://51uumz.com	成功收听	821451
http://51uumz.com	821451	无任何返回结果，大多数情况下为发送成功
http://51uumz.com	成功收听	820994
http://51uumz.com	成功收听	817581
http://51uumz.com	成功收听	821407
http://51uumz.com	成功收听	821409
http://51uumz.com	成功收听	821421
http://51uumz.com	成功收听	821404
http://51uumz.com	成功收听	821429
http://51uumz.com	成功收听	821452
http://51uumz.com	成功收听	813799
http://51uumz.com	成功收听	821405
http://51uumz.com	成功收听	821430
http://51uumz.com	成功收听	821415
http://51uumz.com	成功收听	821453
http://51uumz.com	成功收听	821454
http://51uumz.com	成功收听	821434
http://51uumz.com	成功收听	820640
http://51uumz.com	成功收听	821455
http://51uumz.com	成功收听	821401
http://51uumz.com	成功收听	821456
http://51uumz.com	成功收听	821457
http://51uumz.com	成功收听	821458
http://51uumz.com	成功收听	821459
http://51uumz.com	成功收听	821460
http://51uumz.com	成功收听	821461
http://51uumz.com	成功收听	821462
http://51uumz.com	成功收听	821463
http://51uumz.com	成功收听	820127
http://51uumz.com	成功收听	821464
http://51uumz.com	成功收听	821465
http://51uumz.com	成功收听	821466
http://51uumz.com	成功收听	821467
http://51uumz.com	成功收听	820259
http://51uumz.com	成功收听	821468
http://51uumz.com	成功收听	821469
http://51uumz.com	成功收听	821385
http://51uumz.com	已经收听过了
http://51uumz.com	成功收听	821471
http://51uumz.com	成功收听	821472
http://51uumz.com	成功收听	821473
