
2018-05-11 23:59:58	http://52yw.org
http://52yw.org	管理组：['管理员', '超级版主', '版主']
http://52yw.org	成功收听	187923
http://52yw.org	187923	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	187923	无任何返回结果，大多数情况下为发送成功
http://52yw.org	187923	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592293
http://52yw.org	592293	已发送去去去下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592293	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	588073
http://52yw.org	588073	已发送群下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	588073	无任何返回结果，大多数情况下为发送成功
http://52yw.org	588073	无任何返回结果，大多数情况下为发送成功
http://52yw.org	成功收听	587267
http://52yw.org	587267	已发送蔷薇轻醉下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	587267	无任何返回结果，大多数情况下为发送成功
http://52yw.org	587267	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	488983
http://52yw.org	488983	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	488983	无任何返回结果，大多数情况下为发送成功
http://52yw.org	488983	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592051	已发送谢全先下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592051	无任何返回结果，大多数情况下为发送成功
http://52yw.org	592051	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	575540
http://52yw.org	575540	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	575540	无任何返回结果，大多数情况下为发送成功
http://52yw.org	575540	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	555818
http://52yw.org	555818	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	555818	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	515569	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	515569	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592249
http://52yw.org	592249	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592249	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592297
http://52yw.org	592297	已发送只识弯弓射大雕下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592297	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	555825
http://52yw.org	555825	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	555825	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	158
http://52yw.org	158	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	158	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592296
http://52yw.org	592296	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	592296	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://52yw.org	成功收听	592295
