
2018-04-18 11:52:45	http://aifoot.net
http://aifoot.net	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员', '插件管理员']
http://aifoot.net	成功收听	2827
http://aifoot.net	2827	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://aifoot.net	2827	无任何返回结果，大多数情况下为发送成功
http://aifoot.net	2827	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://aifoot.net	成功收听	10322
http://aifoot.net	10322	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://aifoot.net	10322	无任何返回结果，大多数情况下为发送成功
http://aifoot.net	10322	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://aifoot.net	成功收听	10323
http://aifoot.net	10323	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://aifoot.net	10323	无任何返回结果，大多数情况下为发送成功
http://aifoot.net	10323	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
