
2018-05-11 23:58:55	http://bbs.64gua.com
http://bbs.64gua.com	管理组：['管理员', '超级版主', '版主', '执行站长', '副站长', '坛主', '副坛主', '高级版主', '超版助理', '站长']
http://bbs.64gua.com	成功收听	393574
http://bbs.64gua.com	393574	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	175907
http://bbs.64gua.com	175907	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	224524
http://bbs.64gua.com	224524	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	393521
http://bbs.64gua.com	393521	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	318800
http://bbs.64gua.com	318800	两次发送短消息太快请稍候再发送
http://bbs.64gua.com	成功收听	206098
http://bbs.64gua.com	206098	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	386425
http://bbs.64gua.com	386425	两次发送短消息太快请稍候再发送
http://bbs.64gua.com	成功收听	314900
http://bbs.64gua.com	314900	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	371462
http://bbs.64gua.com	371462	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	71089
http://bbs.64gua.com	71089	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	393523
http://bbs.64gua.com	393523	两次发送短消息太快请稍候再发送
http://bbs.64gua.com	成功收听	292543
http://bbs.64gua.com	292543	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	15317
http://bbs.64gua.com	15317	两次发送短消息太快请稍候再发送
http://bbs.64gua.com	成功收听	387099
http://bbs.64gua.com	387099	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	40624
http://bbs.64gua.com	40624	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	181505
http://bbs.64gua.com	181505	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	15516
http://bbs.64gua.com	成功收听	307744
http://bbs.64gua.com	307744	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	317735
http://bbs.64gua.com	317735	两次发送短消息太快请稍候再发送
http://bbs.64gua.com	成功收听	297139
http://bbs.64gua.com	297139	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	32281
http://bbs.64gua.com	32281	两次发送短消息太快请稍候再发送
http://bbs.64gua.com	成功收听	375413
http://bbs.64gua.com	375413	无任何返回结果，大多数情况下为发送成功
http://bbs.64gua.com	成功收听	211587
http://bbs.64gua.com	成功收听	314500
http://bbs.64gua.com	成功收听	393212
http://bbs.64gua.com	成功收听	381782
http://bbs.64gua.com	成功收听	271679
http://bbs.64gua.com	成功收听	393573
http://bbs.64gua.com	成功收听	292252
http://bbs.64gua.com	成功收听	393572
http://bbs.64gua.com	成功收听	393505
http://bbs.64gua.com	成功收听	393304
http://bbs.64gua.com	成功收听	166106
http://bbs.64gua.com	成功收听	265245
http://bbs.64gua.com	成功收听	272984
http://bbs.64gua.com	成功收听	316100
http://bbs.64gua.com	成功收听	393570
http://bbs.64gua.com	成功收听	393568
http://bbs.64gua.com	成功收听	274271
http://bbs.64gua.com	成功收听	111352
http://bbs.64gua.com	成功收听	239635
http://bbs.64gua.com	成功收听	393010
http://bbs.64gua.com	成功收听	352677
http://bbs.64gua.com	成功收听	392776
http://bbs.64gua.com	成功收听	30634
http://bbs.64gua.com	成功收听	392539
http://bbs.64gua.com	成功收听	393569
http://bbs.64gua.com	成功收听	373899
http://bbs.64gua.com	成功收听	31094
http://bbs.64gua.com	成功收听	246857
http://bbs.64gua.com	成功收听	217565
http://bbs.64gua.com	成功收听	160297
http://bbs.64gua.com	成功收听	280641
http://bbs.64gua.com	成功收听	112584
http://bbs.64gua.com	成功收听	313012
http://bbs.64gua.com	成功收听	393566
http://bbs.64gua.com	成功收听	393565
http://bbs.64gua.com	成功收听	393564
http://bbs.64gua.com	成功收听	243265
http://bbs.64gua.com	成功收听	297140
http://bbs.64gua.com	成功收听	274332
http://bbs.64gua.com	成功收听	99533
http://bbs.64gua.com	成功收听	393563
http://bbs.64gua.com	成功收听	61450
http://bbs.64gua.com	成功收听	10417
http://bbs.64gua.com	成功收听	316768
http://bbs.64gua.com	成功收听	23577
http://bbs.64gua.com	成功收听	393268
http://bbs.64gua.com	成功收听	393576
http://bbs.64gua.com	成功收听	284105
http://bbs.64gua.com	成功收听	393577
http://bbs.64gua.com	成功收听	393578
http://bbs.64gua.com	成功收听	392910
http://bbs.64gua.com	成功收听	26859
http://bbs.64gua.com	成功收听	256679
http://bbs.64gua.com	成功收听	140952
http://bbs.64gua.com	成功收听	393580
http://bbs.64gua.com	成功收听	393581
http://bbs.64gua.com	成功收听	393582
http://bbs.64gua.com	成功收听	393583
http://bbs.64gua.com	成功收听	393584
http://bbs.64gua.com	成功收听	393585
http://bbs.64gua.com	成功收听	73363
http://bbs.64gua.com	成功收听	393588
http://bbs.64gua.com	成功收听	393589
http://bbs.64gua.com	成功收听	152681
http://bbs.64gua.com	成功收听	393590
http://bbs.64gua.com	成功收听	393490
http://bbs.64gua.com	成功收听	362103
http://bbs.64gua.com	成功收听	393591
http://bbs.64gua.com	成功收听	393479
http://bbs.64gua.com	成功收听	318149
http://bbs.64gua.com	成功收听	393592
http://bbs.64gua.com	成功收听	393593
