
2018-05-11 23:58:33	http://bbs.78dm.net
http://bbs.78dm.net	管理组：['管理员', '超级版主', '版主']
http://bbs.78dm.net	成功收听	3737108
http://bbs.78dm.net	成功收听	5174591
http://bbs.78dm.net	成功收听	2072848
http://bbs.78dm.net	成功收听	3485860
http://bbs.78dm.net	成功收听	5091909
http://bbs.78dm.net	成功收听	5174406
http://bbs.78dm.net	成功收听	3597136
http://bbs.78dm.net	成功收听	5174578
http://bbs.78dm.net	成功收听	5174582
http://bbs.78dm.net	成功收听	5174581
http://bbs.78dm.net	成功收听	3401570
http://bbs.78dm.net	成功收听	5100449
http://bbs.78dm.net	成功收听	5174563
http://bbs.78dm.net	成功收听	430848
http://bbs.78dm.net	成功收听	5174589
http://bbs.78dm.net	成功收听	5162929
http://bbs.78dm.net	成功收听	2795421
http://bbs.78dm.net	成功收听	5000749
http://bbs.78dm.net	成功收听	639890
http://bbs.78dm.net	成功收听	5139139
http://bbs.78dm.net	成功收听	3617933
http://bbs.78dm.net	成功收听	55338
http://bbs.78dm.net	成功收听	5148028
http://bbs.78dm.net	成功收听	3731581
http://bbs.78dm.net	成功收听	88414
http://bbs.78dm.net	成功收听	5132504
http://bbs.78dm.net	成功收听	5174566
http://bbs.78dm.net	成功收听	1115434
http://bbs.78dm.net	成功收听	5082059
http://bbs.78dm.net	成功收听	5174584
http://bbs.78dm.net	成功收听	3033637
http://bbs.78dm.net	成功收听	5146403
http://bbs.78dm.net	成功收听	2334296
http://bbs.78dm.net	成功收听	44122
http://bbs.78dm.net	成功收听	4840718
http://bbs.78dm.net	成功收听	334501
http://bbs.78dm.net	成功收听	150160
http://bbs.78dm.net	成功收听	5044484
http://bbs.78dm.net	成功收听	5114220
http://bbs.78dm.net	成功收听	86507
http://bbs.78dm.net	成功收听	5058885
http://bbs.78dm.net	成功收听	5174586
http://bbs.78dm.net	成功收听	3733342
http://bbs.78dm.net	成功收听	45558
http://bbs.78dm.net	成功收听	5091890
http://bbs.78dm.net	成功收听	174862
http://bbs.78dm.net	成功收听	345064
http://bbs.78dm.net	成功收听	5174688
http://bbs.78dm.net	成功收听	5174559
http://bbs.78dm.net	成功收听	3566657
http://bbs.78dm.net	成功收听	5174562
http://bbs.78dm.net	成功收听	3404334
http://bbs.78dm.net	成功收听	51995
http://bbs.78dm.net	成功收听	3548977
http://bbs.78dm.net	成功收听	1120417
http://bbs.78dm.net	成功收听	3119613
http://bbs.78dm.net	成功收听	5174569
http://bbs.78dm.net	成功收听	5118355
http://bbs.78dm.net	成功收听	365144
http://bbs.78dm.net	成功收听	200232
http://bbs.78dm.net	成功收听	218982
http://bbs.78dm.net	成功收听	5059835
http://bbs.78dm.net	成功收听	5174506
http://bbs.78dm.net	成功收听	1818393
http://bbs.78dm.net	成功收听	42089
http://bbs.78dm.net	成功收听	5174687
http://bbs.78dm.net	成功收听	30409
http://bbs.78dm.net	成功收听	210674
http://bbs.78dm.net	成功收听	54900
http://bbs.78dm.net	成功收听	48082
