
2018-04-18 11:52:50	http://bbs.beiww.com
http://bbs.beiww.com	管理组：['管理员', '超级版主', '版主']
http://bbs.beiww.com	成功收听	842600
http://bbs.beiww.com	成功收听	714521
http://bbs.beiww.com	成功收听	796788
http://bbs.beiww.com	成功收听	752983
http://bbs.beiww.com	成功收听	593859
http://bbs.beiww.com	成功收听	739311
http://bbs.beiww.com	成功收听	767374
http://bbs.beiww.com	成功收听	753493
http://bbs.beiww.com	成功收听	842601
http://bbs.beiww.com	成功收听	842602
http://bbs.beiww.com	成功收听	753526
http://bbs.beiww.com	成功收听	753859
http://bbs.beiww.com	成功收听	842603
http://bbs.beiww.com	成功收听	753906
http://bbs.beiww.com	成功收听	594144
http://bbs.beiww.com	成功收听	774187
http://bbs.beiww.com	成功收听	716195
http://bbs.beiww.com	成功收听	774345
http://bbs.beiww.com	成功收听	753934
http://bbs.beiww.com	成功收听	774394
http://bbs.beiww.com	成功收听	759908
http://bbs.beiww.com	成功收听	576780
http://bbs.beiww.com	成功收听	774662
http://bbs.beiww.com	成功收听	754113
http://bbs.beiww.com	成功收听	774694
http://bbs.beiww.com	成功收听	842604
http://bbs.beiww.com	成功收听	774839
http://bbs.beiww.com	成功收听	754144
http://bbs.beiww.com	成功收听	842605
http://bbs.beiww.com	成功收听	775010
http://bbs.beiww.com	成功收听	775132
http://bbs.beiww.com	成功收听	717799
http://bbs.beiww.com	成功收听	842606
http://bbs.beiww.com	成功收听	754224
http://bbs.beiww.com	成功收听	775160
http://bbs.beiww.com	成功收听	775264
http://bbs.beiww.com	成功收听	842607
http://bbs.beiww.com	成功收听	842608
http://bbs.beiww.com	成功收听	754398
http://bbs.beiww.com	成功收听	842609
http://bbs.beiww.com	成功收听	775424
http://bbs.beiww.com	成功收听	754417
http://bbs.beiww.com	成功收听	839280
http://bbs.beiww.com	成功收听	842610
http://bbs.beiww.com	成功收听	775645
http://bbs.beiww.com	成功收听	775665
http://bbs.beiww.com	成功收听	842611
http://bbs.beiww.com	成功收听	842612
http://bbs.beiww.com	成功收听	796660
http://bbs.beiww.com	成功收听	754497
http://bbs.beiww.com	成功收听	775686
http://bbs.beiww.com	成功收听	739483
http://bbs.beiww.com	成功收听	842613
http://bbs.beiww.com	成功收听	775861
http://bbs.beiww.com	成功收听	433573
http://bbs.beiww.com	成功收听	754680
http://bbs.beiww.com	成功收听	797005
http://bbs.beiww.com	成功收听	842614
http://bbs.beiww.com	成功收听	776005
http://bbs.beiww.com	成功收听	842615
http://bbs.beiww.com	成功收听	754729
http://bbs.beiww.com	成功收听	842616
http://bbs.beiww.com	成功收听	754941
http://bbs.beiww.com	成功收听	842617
http://bbs.beiww.com	成功收听	776047
http://bbs.beiww.com	成功收听	842618
http://bbs.beiww.com	成功收听	797469
http://bbs.beiww.com	成功收听	842619
http://bbs.beiww.com	成功收听	754973
http://bbs.beiww.com	成功收听	776153
http://bbs.beiww.com	成功收听	776325
http://bbs.beiww.com	成功收听	797724
http://bbs.beiww.com	成功收听	776352
http://bbs.beiww.com	成功收听	842620
http://bbs.beiww.com	成功收听	842621
http://bbs.beiww.com	成功收听	776373
http://bbs.beiww.com	成功收听	770702
http://bbs.beiww.com	成功收听	755604
http://bbs.beiww.com	成功收听	776509
http://bbs.beiww.com	成功收听	842622
http://bbs.beiww.com	成功收听	842623
http://bbs.beiww.com	成功收听	755626
http://bbs.beiww.com	成功收听	798063
http://bbs.beiww.com	成功收听	776755
http://bbs.beiww.com	成功收听	755564
