
2018-04-18 11:52:50	http://bbs.fsaac.net
http://bbs.fsaac.net	管理组：['FSA理事会', 'FSA运营团队', '论坛日常服务部', 'FSA理事会理事', 'FSA联飞事业部', '实习版主', 'FSA外联事业部', '插件管理员', '联飞事业部签派中心', 'FSA论坛事务部', 'SOC', '运控成员', 'FSA综合保障部', 'FSA管制事务部']
http://bbs.fsaac.net	已经收听过了
http://bbs.fsaac.net	成功收听	226841
http://bbs.fsaac.net	成功收听	237847
http://bbs.fsaac.net	成功收听	227129
http://bbs.fsaac.net	成功收听	239663
http://bbs.fsaac.net	已经收听过了
http://bbs.fsaac.net	成功收听	227306
http://bbs.fsaac.net	成功收听	239664
http://bbs.fsaac.net	成功收听	224952
http://bbs.fsaac.net	成功收听	1331
http://bbs.fsaac.net	成功收听	239665
http://bbs.fsaac.net	成功收听	239666
http://bbs.fsaac.net	成功收听	239667
http://bbs.fsaac.net	成功收听	239668
http://bbs.fsaac.net	成功收听	129812
http://bbs.fsaac.net	成功收听	75407
http://bbs.fsaac.net	成功收听	22575
http://bbs.fsaac.net	成功收听	4398
http://bbs.fsaac.net	成功收听	227808
http://bbs.fsaac.net	成功收听	239670
http://bbs.fsaac.net	成功收听	239671
http://bbs.fsaac.net	成功收听	239672
http://bbs.fsaac.net	成功收听	227991
http://bbs.fsaac.net	成功收听	228004
http://bbs.fsaac.net	成功收听	228024
http://bbs.fsaac.net	成功收听	228213
http://bbs.fsaac.net	成功收听	239674
http://bbs.fsaac.net	成功收听	228343
http://bbs.fsaac.net	成功收听	239675
http://bbs.fsaac.net	成功收听	231447
http://bbs.fsaac.net	成功收听	207672
http://bbs.fsaac.net	成功收听	234052
http://bbs.fsaac.net	成功收听	239682
http://bbs.fsaac.net	成功收听	239683
http://bbs.fsaac.net	成功收听	239619
http://bbs.fsaac.net	成功收听	239695
http://bbs.fsaac.net	成功收听	107016
http://bbs.fsaac.net	成功收听	225555
http://bbs.fsaac.net	成功收听	226787
http://bbs.fsaac.net	成功收听	239694
http://bbs.fsaac.net	成功收听	239700
http://bbs.fsaac.net	成功收听	239699
