
2018-04-18 11:54:05	http://bbs.hi67.cn
http://bbs.hi67.cn	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://bbs.hi67.cn	成功收听	967
http://bbs.hi67.cn	967	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	967	无任何返回结果，大多数情况下为发送成功
http://bbs.hi67.cn	967	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	成功收听	964
http://bbs.hi67.cn	964	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	964	无任何返回结果，大多数情况下为发送成功
http://bbs.hi67.cn	964	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	成功收听	957
http://bbs.hi67.cn	957	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	957	无任何返回结果，大多数情况下为发送成功
http://bbs.hi67.cn	957	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	成功收听	920
http://bbs.hi67.cn	920	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	920	无任何返回结果，大多数情况下为发送成功
http://bbs.hi67.cn	920	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	成功收听	928
http://bbs.hi67.cn	928	已发送天了噜我下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	928	无任何返回结果，大多数情况下为发送成功
http://bbs.hi67.cn	928	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	成功收听	624
http://bbs.hi67.cn	624	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	624	无任何返回结果，大多数情况下为发送成功
http://bbs.hi67.cn	624	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	成功收听	900
http://bbs.hi67.cn	900	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	900	无任何返回结果，大多数情况下为发送成功
http://bbs.hi67.cn	900	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	成功收听	973
http://bbs.hi67.cn	973	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	973	无任何返回结果，大多数情况下为发送成功
http://bbs.hi67.cn	973	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	成功收听	969
http://bbs.hi67.cn	969	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.hi67.cn	969	无任何返回结果，大多数情况下为发送成功
http://bbs.hi67.cn	969	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
