
2018-05-11 23:58:35	http://bbs.jinyunweb.com
http://bbs.jinyunweb.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://bbs.jinyunweb.com	成功收听	195
http://bbs.jinyunweb.com	195	已发送永不烦下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.jinyunweb.com	195	无任何返回结果，大多数情况下为发送成功
http://bbs.jinyunweb.com	195	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.jinyunweb.com	成功收听	196
http://bbs.jinyunweb.com	196	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.jinyunweb.com	196	无任何返回结果，大多数情况下为发送成功
http://bbs.jinyunweb.com	196	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.jinyunweb.com	成功收听	113
http://bbs.jinyunweb.com	113	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.jinyunweb.com	113	无任何返回结果，大多数情况下为发送成功
http://bbs.jinyunweb.com	113	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.jinyunweb.com	成功收听	197
http://bbs.jinyunweb.com	197	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.jinyunweb.com	197	无任何返回结果，大多数情况下为发送成功
http://bbs.jinyunweb.com	197	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.jinyunweb.com	成功收听	198
http://bbs.jinyunweb.com	198	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.jinyunweb.com	198	无任何返回结果，大多数情况下为发送成功
http://bbs.jinyunweb.com	198	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.jinyunweb.com	成功收听	34
http://bbs.jinyunweb.com	34	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.jinyunweb.com	34	无任何返回结果，大多数情况下为发送成功
http://bbs.jinyunweb.com	34	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
