
2018-05-11 23:58:48	http://bbs.ptteng.com
http://bbs.ptteng.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://bbs.ptteng.com	成功收听	26707
http://bbs.ptteng.com	26707	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	26707	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	18335
http://bbs.ptteng.com	18335	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	18335	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	20200
http://bbs.ptteng.com	20200	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	20200	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	24834
http://bbs.ptteng.com	24834	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	24834	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	54587
http://bbs.ptteng.com	54587	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	54587	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	18126
http://bbs.ptteng.com	18126	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	18126	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	20199
http://bbs.ptteng.com	20199	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	20199	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	63456
http://bbs.ptteng.com	63456	已发送昌克顾懿下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	63456	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	17627
http://bbs.ptteng.com	17627	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	17627	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	20728
http://bbs.ptteng.com	20728	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	20728	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	60945
http://bbs.ptteng.com	60945	已发送潘占平下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	60945	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	20761
http://bbs.ptteng.com	20761	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	20761	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	10738
http://bbs.ptteng.com	10738	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	10738	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	63450
http://bbs.ptteng.com	63450	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	63450	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	20725
http://bbs.ptteng.com	20725	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	20725	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	成功收听	13861
http://bbs.ptteng.com	13861	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.ptteng.com	13861	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
