
2018-05-11 23:58:39	http://bbs.romup.com
http://bbs.romup.com	管理组：['管理员', '超级版主', '版主']
http://bbs.romup.com	成功收听	14123
http://bbs.romup.com	14123	已发送怪物甲下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	14123	无任何返回结果，大多数情况下为发送成功
http://bbs.romup.com	14123	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	成功收听	244580
http://bbs.romup.com	244580	无任何返回结果，大多数情况下为发送成功
http://bbs.romup.com	244580	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	成功收听	561956
http://bbs.romup.com	561956	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	561956	两次发送短消息太快请稍候再发送
http://bbs.romup.com	561956	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	成功收听	33099
http://bbs.romup.com	33099	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	33099	无任何返回结果，大多数情况下为发送成功
http://bbs.romup.com	33099	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	成功收听	585375
http://bbs.romup.com	585375	已发送伤成下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	585375	无任何返回结果，大多数情况下为发送成功
http://bbs.romup.com	585375	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	成功收听	378676
http://bbs.romup.com	378676	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	378676	无任何返回结果，大多数情况下为发送成功
http://bbs.romup.com	378676	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	成功收听	256999
http://bbs.romup.com	256999	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	256999	无任何返回结果，大多数情况下为发送成功
http://bbs.romup.com	256999	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	成功收听	127368
http://bbs.romup.com	127368	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	127368	无任何返回结果，大多数情况下为发送成功
http://bbs.romup.com	127368	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	成功收听	47854
http://bbs.romup.com	47854	已发送吼吼吼下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	47854	无任何返回结果，大多数情况下为发送成功
http://bbs.romup.com	47854	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	成功收听	21807
http://bbs.romup.com	21807	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	21807	无任何返回结果，大多数情况下为发送成功
http://bbs.romup.com	21807	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	成功收听	585382
http://bbs.romup.com	585382	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	585382	无任何返回结果，大多数情况下为发送成功
http://bbs.romup.com	585382	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.romup.com	成功收听	408930
