
2018-05-11 23:58:38	http://bbs.seikuu.com
http://bbs.seikuu.com	管理组：['管理员', '超级版主', '版主']
http://bbs.seikuu.com	成功收听	343603
http://bbs.seikuu.com	成功收听	26412
http://bbs.seikuu.com	成功收听	75968
http://bbs.seikuu.com	成功收听	301005
http://bbs.seikuu.com	成功收听	248372
http://bbs.seikuu.com	成功收听	327779
http://bbs.seikuu.com	成功收听	310278
http://bbs.seikuu.com	成功收听	268808
http://bbs.seikuu.com	成功收听	283728
http://bbs.seikuu.com	成功收听	223047
http://bbs.seikuu.com	成功收听	258466
http://bbs.seikuu.com	成功收听	323831
http://bbs.seikuu.com	成功收听	344147
http://bbs.seikuu.com	成功收听	341196
http://bbs.seikuu.com	成功收听	341573
http://bbs.seikuu.com	成功收听	302912
http://bbs.seikuu.com	成功收听	157048
http://bbs.seikuu.com	成功收听	111173
http://bbs.seikuu.com	成功收听	333012
http://bbs.seikuu.com	成功收听	229635
http://bbs.seikuu.com	成功收听	335420
http://bbs.seikuu.com	成功收听	244377
http://bbs.seikuu.com	成功收听	324114
http://bbs.seikuu.com	成功收听	29232
http://bbs.seikuu.com	成功收听	280842
http://bbs.seikuu.com	成功收听	189571
http://bbs.seikuu.com	成功收听	299373
http://bbs.seikuu.com	成功收听	107828
http://bbs.seikuu.com	成功收听	344127
http://bbs.seikuu.com	成功收听	302559
http://bbs.seikuu.com	成功收听	297538
http://bbs.seikuu.com	成功收听	262128
http://bbs.seikuu.com	成功收听	293261
http://bbs.seikuu.com	成功收听	343845
http://bbs.seikuu.com	成功收听	267079
http://bbs.seikuu.com	成功收听	237064
http://bbs.seikuu.com	成功收听	225629
http://bbs.seikuu.com	成功收听	278970
http://bbs.seikuu.com	成功收听	295082
http://bbs.seikuu.com	成功收听	307222
http://bbs.seikuu.com	成功收听	288157
http://bbs.seikuu.com	成功收听	291337
http://bbs.seikuu.com	成功收听	342045
http://bbs.seikuu.com	已经收听过了
http://bbs.seikuu.com	成功收听	58406
http://bbs.seikuu.com	成功收听	338562
http://bbs.seikuu.com	成功收听	336281
http://bbs.seikuu.com	成功收听	337199
http://bbs.seikuu.com	成功收听	315418
http://bbs.seikuu.com	成功收听	63055
http://bbs.seikuu.com	成功收听	298006
http://bbs.seikuu.com	成功收听	341586
http://bbs.seikuu.com	成功收听	298282
http://bbs.seikuu.com	成功收听	279985
http://bbs.seikuu.com	成功收听	304669
http://bbs.seikuu.com	成功收听	160248
http://bbs.seikuu.com	成功收听	321590
http://bbs.seikuu.com	成功收听	293705
http://bbs.seikuu.com	成功收听	321270
http://bbs.seikuu.com	成功收听	332131
http://bbs.seikuu.com	成功收听	241688
http://bbs.seikuu.com	成功收听	330134
http://bbs.seikuu.com	成功收听	317270
http://bbs.seikuu.com	成功收听	344148
http://bbs.seikuu.com	成功收听	343644
http://bbs.seikuu.com	成功收听	296203
http://bbs.seikuu.com	成功收听	53552
http://bbs.seikuu.com	成功收听	343243
http://bbs.seikuu.com	成功收听	234818
http://bbs.seikuu.com	成功收听	333693
http://bbs.seikuu.com	成功收听	257127
http://bbs.seikuu.com	成功收听	296860
http://bbs.seikuu.com	成功收听	275791
http://bbs.seikuu.com	成功收听	268722
http://bbs.seikuu.com	成功收听	248860
http://bbs.seikuu.com	成功收听	257473
http://bbs.seikuu.com	成功收听	277724
http://bbs.seikuu.com	成功收听	315212
http://bbs.seikuu.com	成功收听	321508
http://bbs.seikuu.com	成功收听	327504
http://bbs.seikuu.com	成功收听	329744
http://bbs.seikuu.com	成功收听	240621
http://bbs.seikuu.com	成功收听	245016
http://bbs.seikuu.com	成功收听	332250
http://bbs.seikuu.com	成功收听	234760
http://bbs.seikuu.com	成功收听	327064
http://bbs.seikuu.com	成功收听	315650
http://bbs.seikuu.com	成功收听	269675
http://bbs.seikuu.com	成功收听	207863
http://bbs.seikuu.com	成功收听	309871
http://bbs.seikuu.com	成功收听	80007
http://bbs.seikuu.com	成功收听	294046
http://bbs.seikuu.com	成功收听	318507
http://bbs.seikuu.com	成功收听	242815
http://bbs.seikuu.com	成功收听	226201
http://bbs.seikuu.com	成功收听	238538
http://bbs.seikuu.com	成功收听	42019
http://bbs.seikuu.com	成功收听	320760
http://bbs.seikuu.com	成功收听	283422
http://bbs.seikuu.com	成功收听	309252
http://bbs.seikuu.com	成功收听	23728
http://bbs.seikuu.com	成功收听	292091
http://bbs.seikuu.com	成功收听	344146
http://bbs.seikuu.com	成功收听	207144
http://bbs.seikuu.com	成功收听	24067
http://bbs.seikuu.com	成功收听	337142
http://bbs.seikuu.com	成功收听	305414
http://bbs.seikuu.com	成功收听	309277
http://bbs.seikuu.com	成功收听	289233
http://bbs.seikuu.com	成功收听	298477
http://bbs.seikuu.com	成功收听	303274
http://bbs.seikuu.com	成功收听	336362
http://bbs.seikuu.com	成功收听	342832
http://bbs.seikuu.com	成功收听	31501
http://bbs.seikuu.com	成功收听	306761
http://bbs.seikuu.com	成功收听	307693
http://bbs.seikuu.com	成功收听	302535
http://bbs.seikuu.com	成功收听	298014
http://bbs.seikuu.com	成功收听	321505
http://bbs.seikuu.com	成功收听	311778
http://bbs.seikuu.com	成功收听	324397
http://bbs.seikuu.com	成功收听	309762
http://bbs.seikuu.com	成功收听	322484
http://bbs.seikuu.com	成功收听	344144
http://bbs.seikuu.com	成功收听	327939
http://bbs.seikuu.com	成功收听	249386
http://bbs.seikuu.com	成功收听	307647
