
2018-04-18 11:54:03	http://bbs.shixunsvip.com
http://bbs.shixunsvip.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员', 'SVIP至尊总统', 'VVIP一年版', 'BVIP高级版', 'AVIP专用版', 'SVIP至尊总统版', '111', '年费升级永久VIP']
http://bbs.shixunsvip.com	成功收听	12210
http://bbs.shixunsvip.com	12210	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.shixunsvip.com	12210	无任何返回结果，大多数情况下为发送成功
http://bbs.shixunsvip.com	12210	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.shixunsvip.com	成功收听	9057
http://bbs.shixunsvip.com	9057	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.shixunsvip.com	9057	无任何返回结果，大多数情况下为发送成功
http://bbs.shixunsvip.com	9057	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.shixunsvip.com	成功收听	8581
http://bbs.shixunsvip.com	8581	已发送一眼花开尽下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.shixunsvip.com	8581	无任何返回结果，大多数情况下为发送成功
http://bbs.shixunsvip.com	8581	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
