
2018-04-18 11:53:00	http://bbs.zlongvip10.com
http://bbs.zlongvip10.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://bbs.zlongvip10.com	已经收听过了
http://bbs.zlongvip10.com	83969	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	83969	两次发送短消息太快请稍候再发送
http://bbs.zlongvip10.com	83969	正在等待验证
http://bbs.zlongvip10.com	成功收听	83971
http://bbs.zlongvip10.com	83971	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	83971	两次发送短消息太快请稍候再发送
http://bbs.zlongvip10.com	83971	正在等待验证
http://bbs.zlongvip10.com	成功收听	83972
http://bbs.zlongvip10.com	83972	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	83972	无任何返回结果，大多数情况下为发送成功
http://bbs.zlongvip10.com	83972	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	已经收听过了
http://bbs.zlongvip10.com	83973	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	83973	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	成功收听	83979
http://bbs.zlongvip10.com	83979	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	83979	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	成功收听	83981
http://bbs.zlongvip10.com	83981	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	83981	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	成功收听	83982
http://bbs.zlongvip10.com	83982	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	83982	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	成功收听	83983
http://bbs.zlongvip10.com	83983	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	83983	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	成功收听	83984
http://bbs.zlongvip10.com	83984	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://bbs.zlongvip10.com	83984	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
