
2018-05-11 23:58:51	http://nfootdv.com
http://nfootdv.com	管理组：['管理员', '超级版主', '版', '主', '实习版主', '超级版主', '原创嘉宾', '合作商家']
http://nfootdv.com	成功收听	193068
http://nfootdv.com	成功收听	378903
http://nfootdv.com	成功收听	194335
http://nfootdv.com	成功收听	94717
http://nfootdv.com	成功收听	388430
http://nfootdv.com	成功收听	79662
http://nfootdv.com	成功收听	14491
http://nfootdv.com	成功收听	337823
http://nfootdv.com	成功收听	388431
http://nfootdv.com	成功收听	291043
http://nfootdv.com	成功收听	387638
http://nfootdv.com	成功收听	15790
http://nfootdv.com	成功收听	1042
http://nfootdv.com	成功收听	214703
http://nfootdv.com	已经收听过了
http://nfootdv.com	成功收听	271773
http://nfootdv.com	成功收听	353969
http://nfootdv.com	成功收听	181045
http://nfootdv.com	成功收听	384469
http://nfootdv.com	成功收听	317693
http://nfootdv.com	成功收听	206158
http://nfootdv.com	成功收听	15290
http://nfootdv.com	成功收听	1618
http://nfootdv.com	成功收听	322932
http://nfootdv.com	成功收听	379479
http://nfootdv.com	成功收听	202874
http://nfootdv.com	成功收听	118088
http://nfootdv.com	成功收听	334784
http://nfootdv.com	成功收听	3074
http://nfootdv.com	成功收听	274389
http://nfootdv.com	成功收听	121972
http://nfootdv.com	成功收听	33733
http://nfootdv.com	成功收听	17856
http://nfootdv.com	成功收听	339779
http://nfootdv.com	成功收听	369712
http://nfootdv.com	成功收听	376297
http://nfootdv.com	成功收听	156930
http://nfootdv.com	成功收听	268688
http://nfootdv.com	成功收听	378187
http://nfootdv.com	成功收听	386890
http://nfootdv.com	成功收听	166161
http://nfootdv.com	成功收听	357405
http://nfootdv.com	成功收听	361985
http://nfootdv.com	成功收听	388429
http://nfootdv.com	成功收听	356850
http://nfootdv.com	成功收听	185253
http://nfootdv.com	成功收听	10738
http://nfootdv.com	成功收听	357523
http://nfootdv.com	成功收听	379102
http://nfootdv.com	成功收听	230692
http://nfootdv.com	成功收听	163430
http://nfootdv.com	成功收听	374669
http://nfootdv.com	成功收听	358332
http://nfootdv.com	成功收听	271136
http://nfootdv.com	成功收听	247263
http://nfootdv.com	成功收听	13209
http://nfootdv.com	成功收听	282876
http://nfootdv.com	成功收听	344979
http://nfootdv.com	成功收听	238239
http://nfootdv.com	成功收听	338568
http://nfootdv.com	成功收听	303352
http://nfootdv.com	成功收听	298770
http://nfootdv.com	成功收听	387464
http://nfootdv.com	成功收听	352752
http://nfootdv.com	成功收听	48133
http://nfootdv.com	成功收听	386134
http://nfootdv.com	成功收听	373759
http://nfootdv.com	成功收听	184014
http://nfootdv.com	成功收听	386885
http://nfootdv.com	成功收听	25960
http://nfootdv.com	成功收听	52488
http://nfootdv.com	成功收听	315442
http://nfootdv.com	成功收听	388432
http://nfootdv.com	成功收听	367930
http://nfootdv.com	成功收听	38152
http://nfootdv.com	成功收听	21579
http://nfootdv.com	成功收听	240157
http://nfootdv.com	成功收听	325922
http://nfootdv.com	成功收听	234937
http://nfootdv.com	成功收听	386871
http://nfootdv.com	成功收听	369098
http://nfootdv.com	成功收听	377477
http://nfootdv.com	成功收听	365124
http://nfootdv.com	成功收听	23016
http://nfootdv.com	成功收听	350363
http://nfootdv.com	成功收听	118681
http://nfootdv.com	成功收听	172906
http://nfootdv.com	成功收听	7222
http://nfootdv.com	成功收听	14583
http://nfootdv.com	成功收听	383733
http://nfootdv.com	成功收听	156903
http://nfootdv.com	成功收听	283816
http://nfootdv.com	成功收听	349349
http://nfootdv.com	成功收听	19535
http://nfootdv.com	成功收听	385418
http://nfootdv.com	成功收听	2175
http://nfootdv.com	成功收听	388433
http://nfootdv.com	成功收听	373744
http://nfootdv.com	成功收听	368737
http://nfootdv.com	成功收听	365319
http://nfootdv.com	成功收听	25107
http://nfootdv.com	成功收听	8873
http://nfootdv.com	成功收听	66243
http://nfootdv.com	成功收听	284398
http://nfootdv.com	成功收听	129265
http://nfootdv.com	成功收听	347035
http://nfootdv.com	成功收听	181207
http://nfootdv.com	成功收听	15168
http://nfootdv.com	成功收听	14911
http://nfootdv.com	成功收听	219749
http://nfootdv.com	成功收听	368941
http://nfootdv.com	成功收听	386187
http://nfootdv.com	成功收听	252544
http://nfootdv.com	成功收听	362219
http://nfootdv.com	成功收听	220670
http://nfootdv.com	成功收听	206384
http://nfootdv.com	成功收听	364877
http://nfootdv.com	成功收听	40099
http://nfootdv.com	成功收听	299944
http://nfootdv.com	成功收听	375654
http://nfootdv.com	成功收听	359052
http://nfootdv.com	成功收听	378190
http://nfootdv.com	成功收听	355189
http://nfootdv.com	成功收听	352938
http://nfootdv.com	成功收听	75831
http://nfootdv.com	成功收听	372874
http://nfootdv.com	成功收听	377482
http://nfootdv.com	成功收听	18160
http://nfootdv.com	成功收听	311413
http://nfootdv.com	成功收听	232701
http://nfootdv.com	成功收听	371263
http://nfootdv.com	成功收听	264825
http://nfootdv.com	成功收听	1637
http://nfootdv.com	成功收听	109220
http://nfootdv.com	成功收听	48857
http://nfootdv.com	成功收听	213515
http://nfootdv.com	成功收听	378991
http://nfootdv.com	成功收听	363918
http://nfootdv.com	成功收听	117261
http://nfootdv.com	成功收听	21819
http://nfootdv.com	成功收听	17400
http://nfootdv.com	成功收听	81511
http://nfootdv.com	成功收听	126
http://nfootdv.com	成功收听	388434
http://nfootdv.com	成功收听	369778
http://nfootdv.com	成功收听	10529
http://nfootdv.com	成功收听	362750
http://nfootdv.com	成功收听	3641
http://nfootdv.com	成功收听	357334
http://nfootdv.com	成功收听	334638
http://nfootdv.com	成功收听	33111
http://nfootdv.com	成功收听	379643
http://nfootdv.com	成功收听	43149
http://nfootdv.com	成功收听	231111
http://nfootdv.com	成功收听	383796
http://nfootdv.com	成功收听	283665
http://nfootdv.com	成功收听	275368
http://nfootdv.com	成功收听	33407
http://nfootdv.com	成功收听	309623
http://nfootdv.com	成功收听	25998
http://nfootdv.com	成功收听	34404
http://nfootdv.com	成功收听	55213
http://nfootdv.com	成功收听	316272
http://nfootdv.com	成功收听	46879
http://nfootdv.com	成功收听	200870
http://nfootdv.com	成功收听	366423
http://nfootdv.com	成功收听	385407
http://nfootdv.com	成功收听	786
http://nfootdv.com	成功收听	378698
http://nfootdv.com	成功收听	380770
http://nfootdv.com	成功收听	2736
http://nfootdv.com	成功收听	207833
http://nfootdv.com	成功收听	4448
http://nfootdv.com	成功收听	365188
http://nfootdv.com	成功收听	186734
http://nfootdv.com	成功收听	252632
http://nfootdv.com	成功收听	380276
http://nfootdv.com	成功收听	365965
http://nfootdv.com	成功收听	357002
http://nfootdv.com	成功收听	124707
http://nfootdv.com	成功收听	175821
http://nfootdv.com	成功收听	348787
http://nfootdv.com	成功收听	379501
http://nfootdv.com	成功收听	359314
http://nfootdv.com	成功收听	214294
http://nfootdv.com	成功收听	24106
http://nfootdv.com	成功收听	238282
http://nfootdv.com	成功收听	378983
http://nfootdv.com	成功收听	295041
http://nfootdv.com	成功收听	376346
http://nfootdv.com	成功收听	266082
http://nfootdv.com	成功收听	375534
http://nfootdv.com	成功收听	178754
http://nfootdv.com	成功收听	45533
http://nfootdv.com	成功收听	364807
http://nfootdv.com	成功收听	385573
http://nfootdv.com	成功收听	236668
http://nfootdv.com	成功收听	91753
http://nfootdv.com	成功收听	314252
http://nfootdv.com	成功收听	377799
http://nfootdv.com	成功收听	83972
http://nfootdv.com	成功收听	328600
http://nfootdv.com	成功收听	359357
http://nfootdv.com	成功收听	37946
http://nfootdv.com	成功收听	384858
http://nfootdv.com	成功收听	387639
http://nfootdv.com	成功收听	184387
http://nfootdv.com	成功收听	368907
http://nfootdv.com	成功收听	368575
http://nfootdv.com	成功收听	382914
http://nfootdv.com	成功收听	23107
http://nfootdv.com	成功收听	323534
http://nfootdv.com	成功收听	362657
http://nfootdv.com	成功收听	241917
http://nfootdv.com	成功收听	115343
http://nfootdv.com	成功收听	14452
http://nfootdv.com	成功收听	369247
http://nfootdv.com	成功收听	315515
http://nfootdv.com	成功收听	113992
http://nfootdv.com	成功收听	366837
http://nfootdv.com	成功收听	348323
http://nfootdv.com	成功收听	112671
http://nfootdv.com	成功收听	299627
http://nfootdv.com	成功收听	387960
http://nfootdv.com	成功收听	2016
http://nfootdv.com	成功收听	368619
http://nfootdv.com	成功收听	74813
http://nfootdv.com	成功收听	365932
http://nfootdv.com	成功收听	125063
http://nfootdv.com	成功收听	360220
http://nfootdv.com	成功收听	192311
http://nfootdv.com	成功收听	161211
http://nfootdv.com	成功收听	334231
http://nfootdv.com	成功收听	194687
http://nfootdv.com	成功收听	378863
http://nfootdv.com	成功收听	66657
http://nfootdv.com	成功收听	118219
http://nfootdv.com	成功收听	113990
http://nfootdv.com	成功收听	24121
http://nfootdv.com	成功收听	377440
http://nfootdv.com	成功收听	314901
http://nfootdv.com	成功收听	388435
http://nfootdv.com	成功收听	260941
http://nfootdv.com	成功收听	56987
http://nfootdv.com	成功收听	383462
http://nfootdv.com	成功收听	201059
http://nfootdv.com	成功收听	2067
http://nfootdv.com	成功收听	364812
http://nfootdv.com	成功收听	334680
http://nfootdv.com	成功收听	185404
http://nfootdv.com	成功收听	162849
http://nfootdv.com	成功收听	123146
http://nfootdv.com	成功收听	41871
http://nfootdv.com	成功收听	365402
http://nfootdv.com	成功收听	370233
http://nfootdv.com	成功收听	376421
http://nfootdv.com	成功收听	353174
http://nfootdv.com	成功收听	56026
http://nfootdv.com	成功收听	73289
http://nfootdv.com	成功收听	60582
http://nfootdv.com	成功收听	378540
http://nfootdv.com	成功收听	183454
http://nfootdv.com	成功收听	55954
http://nfootdv.com	成功收听	375416
http://nfootdv.com	成功收听	370032
http://nfootdv.com	成功收听	49871
http://nfootdv.com	成功收听	173149
http://nfootdv.com	成功收听	290241
http://nfootdv.com	成功收听	67973
http://nfootdv.com	成功收听	80006
http://nfootdv.com	成功收听	274750
http://nfootdv.com	成功收听	361879
http://nfootdv.com	成功收听	388436
http://nfootdv.com	成功收听	266360
http://nfootdv.com	成功收听	333895
http://nfootdv.com	成功收听	124476
http://nfootdv.com	成功收听	69523
http://nfootdv.com	成功收听	13506
http://nfootdv.com	成功收听	379327
http://nfootdv.com	成功收听	59260
http://nfootdv.com	成功收听	205673
http://nfootdv.com	成功收听	109376
http://nfootdv.com	成功收听	143158
http://nfootdv.com	成功收听	388437
http://nfootdv.com	成功收听	24544
http://nfootdv.com	成功收听	388438
http://nfootdv.com	成功收听	11086
http://nfootdv.com	成功收听	41690
http://nfootdv.com	成功收听	81412
http://nfootdv.com	成功收听	188708
http://nfootdv.com	成功收听	388439
