
2018-04-18 11:54:01	http://qqy2.com
http://qqy2.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://qqy2.com	成功收听	296130
http://qqy2.com	296130	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	296130	无任何返回结果，大多数情况下为发送成功
http://qqy2.com	296130	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	成功收听	296133
http://qqy2.com	296133	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	296133	无任何返回结果，大多数情况下为发送成功
http://qqy2.com	296133	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	成功收听	296134
http://qqy2.com	296134	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	296134	无任何返回结果，大多数情况下为发送成功
http://qqy2.com	296134	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	成功收听	296136
http://qqy2.com	296136	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	296136	无任何返回结果，大多数情况下为发送成功
http://qqy2.com	296136	正在等待验证
http://qqy2.com	成功收听	296138
http://qqy2.com	296138	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	296138	无任何返回结果，大多数情况下为发送成功
http://qqy2.com	296138	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	成功收听	296140
http://qqy2.com	296140	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	296140	无任何返回结果，大多数情况下为发送成功
http://qqy2.com	296140	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	成功收听	296141
http://qqy2.com	296141	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	296141	无任何返回结果，大多数情况下为发送成功
http://qqy2.com	296141	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	成功收听	296142
http://qqy2.com	296142	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	296142	无任何返回结果，大多数情况下为发送成功
http://qqy2.com	296142	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	成功收听	296143
http://qqy2.com	296143	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	296143	无任何返回结果，大多数情况下为发送成功
http://qqy2.com	296143	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	成功收听	296147
http://qqy2.com	296147	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	296147	无任何返回结果，大多数情况下为发送成功
http://qqy2.com	296147	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	成功收听	296160
http://qqy2.com	296160	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://qqy2.com	296160	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
