
2018-04-18 11:53:25	http://smjysm.com
http://smjysm.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员', '测试员', 'VIP1', 'VIP2', 'VIP3', 'VIP4', 'VIP5', 'VIP6']
http://smjysm.com	成功收听	224987
http://smjysm.com	成功收听	96754
http://smjysm.com	成功收听	243315
http://smjysm.com	成功收听	71987
http://smjysm.com	成功收听	238076
http://smjysm.com	成功收听	108851
http://smjysm.com	成功收听	224286
http://smjysm.com	成功收听	239281
http://smjysm.com	已经收听过了
http://smjysm.com	成功收听	35169
http://smjysm.com	成功收听	243316
http://smjysm.com	成功收听	216572
http://smjysm.com	成功收听	216483
http://smjysm.com	成功收听	219099
http://smjysm.com	成功收听	140601
http://smjysm.com	已经收听过了
http://smjysm.com	成功收听	243318
http://smjysm.com	已经收听过了
http://smjysm.com	成功收听	138126
http://smjysm.com	已经收听过了
http://smjysm.com	成功收听	243319
http://smjysm.com	成功收听	243320
http://smjysm.com	成功收听	219068
http://smjysm.com	成功收听	239363
http://smjysm.com	成功收听	239812
http://smjysm.com	成功收听	243322
http://smjysm.com	成功收听	243321
http://smjysm.com	成功收听	195162
http://smjysm.com	成功收听	195684
http://smjysm.com	成功收听	243323
http://smjysm.com	成功收听	243324
http://smjysm.com	成功收听	120623
http://smjysm.com	成功收听	243325
http://smjysm.com	成功收听	243326
http://smjysm.com	成功收听	157071
http://smjysm.com	成功收听	154409
http://smjysm.com	成功收听	219087
http://smjysm.com	已经收听过了
http://smjysm.com	成功收听	218430
http://smjysm.com	成功收听	158864
http://smjysm.com	成功收听	242374
http://smjysm.com	成功收听	243328
http://smjysm.com	成功收听	243329
http://smjysm.com	成功收听	94460
http://smjysm.com	成功收听	139371
http://smjysm.com	成功收听	243330
http://smjysm.com	已经收听过了
http://smjysm.com	成功收听	243331
http://smjysm.com	成功收听	189930
http://smjysm.com	成功收听	113258
http://smjysm.com	已经收听过了
http://smjysm.com	已经收听过了
http://smjysm.com	成功收听	216498
http://smjysm.com	成功收听	219104
http://smjysm.com	成功收听	144808
http://smjysm.com	成功收听	240014
http://smjysm.com	成功收听	188202
http://smjysm.com	成功收听	243333
http://smjysm.com	成功收听	212408
http://smjysm.com	成功收听	179601
http://smjysm.com	成功收听	68076
http://smjysm.com	成功收听	216294
http://smjysm.com	成功收听	67041
http://smjysm.com	成功收听	243334
http://smjysm.com	成功收听	239381
http://smjysm.com	成功收听	240457
http://smjysm.com	成功收听	243335
http://smjysm.com	成功收听	243336
http://smjysm.com	成功收听	243337
http://smjysm.com	成功收听	198373
http://smjysm.com	成功收听	153927
http://smjysm.com	成功收听	243338
http://smjysm.com	成功收听	222662
http://smjysm.com	成功收听	243339
http://smjysm.com	成功收听	243340
http://smjysm.com	成功收听	56339
http://smjysm.com	成功收听	187596
http://smjysm.com	成功收听	226105
http://smjysm.com	成功收听	231653
http://smjysm.com	成功收听	74913
http://smjysm.com	成功收听	243341
http://smjysm.com	成功收听	219294
http://smjysm.com	成功收听	97691
http://smjysm.com	成功收听	226103
http://smjysm.com	成功收听	233734
http://smjysm.com	成功收听	223976
http://smjysm.com	成功收听	73829
http://smjysm.com	成功收听	214028
http://smjysm.com	成功收听	239804
http://smjysm.com	成功收听	243342
http://smjysm.com	成功收听	206879
http://smjysm.com	成功收听	196084
http://smjysm.com	成功收听	226827
http://smjysm.com	成功收听	243343
http://smjysm.com	成功收听	230596
http://smjysm.com	成功收听	243344
http://smjysm.com	成功收听	243345
http://smjysm.com	成功收听	234781
http://smjysm.com	成功收听	228980
http://smjysm.com	成功收听	227134
http://smjysm.com	成功收听	177801
http://smjysm.com	成功收听	236575
http://smjysm.com	成功收听	243346
http://smjysm.com	成功收听	163789
http://smjysm.com	成功收听	243347
http://smjysm.com	成功收听	243348
http://smjysm.com	成功收听	238903
http://smjysm.com	成功收听	5137
http://smjysm.com	成功收听	243349
http://smjysm.com	成功收听	209342
http://smjysm.com	成功收听	243350
http://smjysm.com	成功收听	243351
http://smjysm.com	成功收听	238654
http://smjysm.com	成功收听	220308
http://smjysm.com	成功收听	243352
http://smjysm.com	成功收听	226842
http://smjysm.com	成功收听	230777
http://smjysm.com	成功收听	243353
http://smjysm.com	成功收听	226836
http://smjysm.com	成功收听	226817
http://smjysm.com	成功收听	243354
http://smjysm.com	成功收听	143069
http://smjysm.com	成功收听	160877
http://smjysm.com	成功收听	243355
http://smjysm.com	成功收听	238343
http://smjysm.com	成功收听	223167
http://smjysm.com	成功收听	199077
http://smjysm.com	成功收听	226657
http://smjysm.com	成功收听	173648
http://smjysm.com	成功收听	243356
http://smjysm.com	成功收听	243357
http://smjysm.com	已经收听过了
http://smjysm.com	成功收听	68016
http://smjysm.com	成功收听	137281
http://smjysm.com	成功收听	225245
http://smjysm.com	成功收听	227269
http://smjysm.com	成功收听	228507
http://smjysm.com	成功收听	242973
http://smjysm.com	成功收听	210252
http://smjysm.com	成功收听	243359
http://smjysm.com	成功收听	234144
http://smjysm.com	成功收听	243360
http://smjysm.com	成功收听	227620
http://smjysm.com	成功收听	227273
http://smjysm.com	成功收听	232397
http://smjysm.com	成功收听	243362
http://smjysm.com	成功收听	239205
http://smjysm.com	成功收听	219360
http://smjysm.com	成功收听	234282
http://smjysm.com	成功收听	243363
http://smjysm.com	成功收听	119152
http://smjysm.com	成功收听	243364
http://smjysm.com	成功收听	227790
http://smjysm.com	成功收听	99032
http://smjysm.com	成功收听	215994
http://smjysm.com	成功收听	159979
http://smjysm.com	成功收听	243367
http://smjysm.com	成功收听	149519
http://smjysm.com	成功收听	243368
http://smjysm.com	成功收听	227014
http://smjysm.com	成功收听	243370
http://smjysm.com	成功收听	109948
http://smjysm.com	成功收听	228983
http://smjysm.com	成功收听	198280
http://smjysm.com	成功收听	129586
http://smjysm.com	成功收听	225254
http://smjysm.com	成功收听	234157
http://smjysm.com	成功收听	243372
http://smjysm.com	成功收听	143251
http://smjysm.com	成功收听	242614
http://smjysm.com	成功收听	200291
http://smjysm.com	成功收听	243373
http://smjysm.com	成功收听	227059
http://smjysm.com	成功收听	243374
http://smjysm.com	成功收听	238847
http://smjysm.com	成功收听	243376
http://smjysm.com	成功收听	243377
http://smjysm.com	成功收听	165966
http://smjysm.com	成功收听	243380
http://smjysm.com	成功收听	239212
http://smjysm.com	成功收听	235723
http://smjysm.com	成功收听	243384
http://smjysm.com	成功收听	243383
http://smjysm.com	成功收听	243387
http://smjysm.com	成功收听	98296
http://smjysm.com	成功收听	141071
http://smjysm.com	成功收听	222377
http://smjysm.com	已经收听过了
http://smjysm.com	成功收听	243401
http://smjysm.com	成功收听	243402
http://smjysm.com	成功收听	232839
http://smjysm.com	成功收听	243411
http://smjysm.com	成功收听	243410
http://smjysm.com	成功收听	196387
http://smjysm.com	成功收听	243433
