
2018-04-18 11:53:29	http://tule77.com
http://tule77.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://tule77.com	已经收听过了
http://tule77.com	已经收听过了
http://tule77.com	成功收听	20415
http://tule77.com	成功收听	64041
http://tule77.com	成功收听	64042
http://tule77.com	成功收听	64043
http://tule77.com	成功收听	41776
http://tule77.com	成功收听	55059
http://tule77.com	成功收听	64047
http://tule77.com	成功收听	59412
http://tule77.com	成功收听	64048
http://tule77.com	成功收听	54709
http://tule77.com	成功收听	64049
http://tule77.com	成功收听	55178
http://tule77.com	成功收听	64051
http://tule77.com	成功收听	13613
http://tule77.com	成功收听	46605
