
2018-04-18 11:54:33	http://woaipuyou.com
http://woaipuyou.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://woaipuyou.com	成功收听	24269
http://woaipuyou.com	24269	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	24269	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	24269	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39390
http://woaipuyou.com	39390	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39390	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	39390	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	30001
http://woaipuyou.com	30001	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	30001	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	30001	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39704
http://woaipuyou.com	39704	已发送祛赦唝下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39704	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	39704	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39392
http://woaipuyou.com	39392	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39392	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	成功收听	39577
http://woaipuyou.com	39577	已发送赦唝钬下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39577	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	39577	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39513
http://woaipuyou.com	39513	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39513	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39421
http://woaipuyou.com	39421	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39421	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	39421	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	32440
http://woaipuyou.com	32440	已发送龙鉢下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	32440	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	32440	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39383
http://woaipuyou.com	39383	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39383	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	39383	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	28542
http://woaipuyou.com	28542	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	28542	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39702
http://woaipuyou.com	39702	已发送魍础婓下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39702	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	39702	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	27864
http://woaipuyou.com	27864	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	27864	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	27864	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39809
http://woaipuyou.com	39809	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39809	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	39809	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39407
http://woaipuyou.com	39407	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39407	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	39407	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39767
http://woaipuyou.com	39767	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39767	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39811
http://woaipuyou.com	39811	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39811	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	39811	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	29483
http://woaipuyou.com	29483	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	29483	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39716
http://woaipuyou.com	39716	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39810
http://woaipuyou.com	39810	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39810	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	39810	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39585
http://woaipuyou.com	39585	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39585	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	39585	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39797
http://woaipuyou.com	39797	已发送一贫如洗下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39797	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	33610
http://woaipuyou.com	33610	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	33610	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	33610	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	25640
http://woaipuyou.com	25640	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	25640	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	25640	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39769
http://woaipuyou.com	39769	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39769	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	39769	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	23244
http://woaipuyou.com	23244	已发送倍麻迟下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	23244	无任何返回结果，大多数情况下为发送成功
http://woaipuyou.com	23244	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	成功收听	39773
http://woaipuyou.com	39773	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://woaipuyou.com	39773	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
