
2018-04-18 11:53:30	http://wutongke.net
http://wutongke.net	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://wutongke.net	成功收听	6818
http://wutongke.net	6818	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://wutongke.net	6818	无任何返回结果，大多数情况下为发送成功
http://wutongke.net	6818	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://wutongke.net	已经收听过了
http://wutongke.net	4912	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://wutongke.net	4912	无任何返回结果，大多数情况下为发送成功
http://wutongke.net	4912	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://wutongke.net	成功收听	7853
http://wutongke.net	7853	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://wutongke.net	7853	无任何返回结果，大多数情况下为发送成功
http://wutongke.net	7853	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://wutongke.net	成功收听	5192
http://wutongke.net	5192	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://wutongke.net	5192	无任何返回结果，大多数情况下为发送成功
http://wutongke.net	5192	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://wutongke.net	成功收听	7320
http://wutongke.net	7320	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://wutongke.net	7320	无任何返回结果，大多数情况下为发送成功
http://wutongke.net	7320	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
