
2018-04-18 11:53:34	http://www.021yldt.com
http://www.021yldt.com	管理组：['超级版主', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员', '金牌会员']
http://www.021yldt.com	成功收听	50735
http://www.021yldt.com	50735	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.021yldt.com	50735	无任何返回结果，大多数情况下为发送成功
http://www.021yldt.com	50735	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.021yldt.com	成功收听	50736
http://www.021yldt.com	50736	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.021yldt.com	50736	无任何返回结果，大多数情况下为发送成功
http://www.021yldt.com	50736	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.021yldt.com	成功收听	50737
http://www.021yldt.com	50737	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.021yldt.com	50737	无任何返回结果，大多数情况下为发送成功
http://www.021yldt.com	50737	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.021yldt.com	成功收听	50739
http://www.021yldt.com	50739	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.021yldt.com	50739	无任何返回结果，大多数情况下为发送成功
http://www.021yldt.com	50739	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.021yldt.com	已经收听过了
http://www.021yldt.com	50742	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.021yldt.com	50742	正在等待验证
http://www.021yldt.com	已经收听过了
http://www.021yldt.com	50744	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.021yldt.com	50744	正在等待验证
http://www.021yldt.com	已经收听过了
http://www.021yldt.com	50745	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.021yldt.com	50745	正在等待验证
http://www.021yldt.com	已经收听过了
http://www.021yldt.com	50747	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.021yldt.com	50747	正在等待验证
http://www.021yldt.com	成功收听	50746
http://www.021yldt.com	50746	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.021yldt.com	50746	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.021yldt.com	成功收听	50748
http://www.021yldt.com	50748	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
