
2018-05-11 23:59:54	http://www.0757y.com
http://www.0757y.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '荣誉会员', '桑拿发布员']
http://www.0757y.com	成功收听	11687
http://www.0757y.com	11687	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	11687	无任何返回结果，大多数情况下为发送成功
http://www.0757y.com	11687	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	成功收听	24046
http://www.0757y.com	24046	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24046	两次发送短消息太快请稍候再发送
http://www.0757y.com	24046	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24259	已发送禅城按摩下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24259	两次发送短消息太快请稍候再发送
http://www.0757y.com	24259	无任何返回结果，大多数情况下为发送成功
http://www.0757y.com	24171	已发送狼人来了下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24171	无任何返回结果，大多数情况下为发送成功
http://www.0757y.com	24171	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24276	无任何返回结果，大多数情况下为发送成功
http://www.0757y.com	24276	无任何返回结果，大多数情况下为发送成功
http://www.0757y.com	24276	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24163	已发送一二三四下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24163	两次发送短消息太快请稍候再发送
http://www.0757y.com	24163	无任何返回结果，大多数情况下为发送成功
http://www.0757y.com	24145	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24145	无任何返回结果，大多数情况下为发送成功
http://www.0757y.com	24145	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24127	无任何返回结果，大多数情况下为发送成功
http://www.0757y.com	24127	两次发送短消息太快请稍候再发送
http://www.0757y.com	24127	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24098	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24098	两次发送短消息太快请稍候再发送
http://www.0757y.com	24098	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24017	已发送一切皆有可能下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24017	无任何返回结果，大多数情况下为发送成功
http://www.0757y.com	24017	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24177	已发送西门庆下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.0757y.com	24177	两次发送短消息太快请稍候再发送
http://www.0757y.com	24177	无任何返回结果，大多数情况下为发送成功
http://www.0757y.com	24265	已发送我爱一条柴下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
