
2018-05-11 23:59:57	http://www.4ktt.com
http://www.4ktt.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.4ktt.com	31201	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	31201	无任何返回结果，大多数情况下为发送成功
http://www.4ktt.com	31201	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	37048	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	37048	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	48299	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	48299	无任何返回结果，大多数情况下为发送成功
http://www.4ktt.com	16951	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	16951	无任何返回结果，大多数情况下为发送成功
http://www.4ktt.com	16951	正在等待验证
http://www.4ktt.com	52237	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	52237	无任何返回结果，大多数情况下为发送成功
http://www.4ktt.com	52237	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	20550	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	20550	无任何返回结果，大多数情况下为发送成功
http://www.4ktt.com	20550	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	50610	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	50610	无任何返回结果，大多数情况下为发送成功
http://www.4ktt.com	50610	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	40287	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	40287	无任何返回结果，大多数情况下为发送成功
http://www.4ktt.com	40287	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	9771	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	9771	两次发送短消息太快请稍候再发送
http://www.4ktt.com	9771	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	5712	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	5712	无任何返回结果，大多数情况下为发送成功
http://www.4ktt.com	5712	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	21033	已发送趙哥下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	21033	无任何返回结果，大多数情况下为发送成功
http://www.4ktt.com	21033	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	50375	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	50375	无任何返回结果，大多数情况下为发送成功
http://www.4ktt.com	50375	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	51193	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	51193	无任何返回结果，大多数情况下为发送成功
http://www.4ktt.com	51193	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	16102	无任何返回结果，大多数情况下为发送成功
http://www.4ktt.com	16102	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.4ktt.com	50846	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
