
2018-05-12 00:00:21	http://www.92uu.cc
http://www.92uu.cc	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.92uu.cc	成功收听	19712
http://www.92uu.cc	19712	已发送小可爱下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19712	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	17867
http://www.92uu.cc	17867	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	17867	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19715
http://www.92uu.cc	19715	已发送大大的下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19715	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19714
http://www.92uu.cc	19714	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19714	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19713
http://www.92uu.cc	19713	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19713	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19711
http://www.92uu.cc	19711	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19710
http://www.92uu.cc	19710	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19710	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19716
http://www.92uu.cc	19716	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19716	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19717
http://www.92uu.cc	19717	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19717	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19718
http://www.92uu.cc	19718	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19718	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19719
http://www.92uu.cc	19719	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19719	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19631
http://www.92uu.cc	19631	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19631	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19720
http://www.92uu.cc	19720	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19720	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19697
http://www.92uu.cc	19697	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19697	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19722
http://www.92uu.cc	19722	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19722	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19721
http://www.92uu.cc	19721	已发送你们不要乱来啊下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19721	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19723
http://www.92uu.cc	19723	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19723	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19724
http://www.92uu.cc	19724	已发送丶下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19724	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19725
http://www.92uu.cc	19725	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19725	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19726
http://www.92uu.cc	19726	已发送联机版下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19726	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19727
http://www.92uu.cc	19727	已发送补补钙下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19727	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19728
http://www.92uu.cc	19728	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19728	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19729
http://www.92uu.cc	19729	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19730
http://www.92uu.cc	19730	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19730	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19731
http://www.92uu.cc	19731	已发送地方我干活下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19731	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19732
http://www.92uu.cc	19732	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19732	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19733
http://www.92uu.cc	19733	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19733	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19734
http://www.92uu.cc	19734	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19734	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19735
http://www.92uu.cc	19735	已发送没没没潇洒下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19735	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19736
http://www.92uu.cc	19736	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19736	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	19737
http://www.92uu.cc	19737	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	19737	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.92uu.cc	成功收听	18116
http://www.92uu.cc	18116	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
