
2018-05-11 23:59:45	http://www.9gty.net
http://www.9gty.net	管理组：['管理员', '超级版主', '版主', '主', '管', '区主管', '实习版主', '区版主', '副主管', '荣誉主管', '☆金牌VIP☆', '博彩区版主', '荣誉管理员']
http://www.9gty.net	成功收听	56264
http://www.9gty.net	成功收听	638143
http://www.9gty.net	成功收听	17868
http://www.9gty.net	成功收听	539740
http://www.9gty.net	成功收听	642359
http://www.9gty.net	成功收听	642787
http://www.9gty.net	成功收听	584380
http://www.9gty.net	成功收听	642786
http://www.9gty.net	成功收听	642785
http://www.9gty.net	成功收听	279062
http://www.9gty.net	成功收听	370496
http://www.9gty.net	成功收听	532360
http://www.9gty.net	成功收听	642031
http://www.9gty.net	成功收听	637239
http://www.9gty.net	成功收听	85405
http://www.9gty.net	成功收听	178911
http://www.9gty.net	成功收听	383884
http://www.9gty.net	已经收听过了
http://www.9gty.net	成功收听	18777
http://www.9gty.net	成功收听	638866
http://www.9gty.net	成功收听	206007
http://www.9gty.net	成功收听	1058
http://www.9gty.net	成功收听	316118
http://www.9gty.net	成功收听	265084
http://www.9gty.net	成功收听	302758
http://www.9gty.net	成功收听	145995
http://www.9gty.net	成功收听	272132
http://www.9gty.net	成功收听	633076
http://www.9gty.net	成功收听	470475
http://www.9gty.net	成功收听	636095
http://www.9gty.net	成功收听	532357
http://www.9gty.net	成功收听	467401
http://www.9gty.net	成功收听	638176
http://www.9gty.net	成功收听	138760
http://www.9gty.net	成功收听	265163
http://www.9gty.net	成功收听	192837
http://www.9gty.net	成功收听	7642
http://www.9gty.net	成功收听	637151
http://www.9gty.net	成功收听	10611
http://www.9gty.net	成功收听	1721
http://www.9gty.net	成功收听	80637
http://www.9gty.net	成功收听	512161
http://www.9gty.net	成功收听	487066
http://www.9gty.net	成功收听	34085
http://www.9gty.net	成功收听	49263
http://www.9gty.net	成功收听	73342
http://www.9gty.net	成功收听	9505
http://www.9gty.net	成功收听	638269
http://www.9gty.net	成功收听	642742
http://www.9gty.net	成功收听	638401
http://www.9gty.net	成功收听	599390
http://www.9gty.net	成功收听	577592
http://www.9gty.net	成功收听	616827
http://www.9gty.net	成功收听	638413
http://www.9gty.net	成功收听	615234
http://www.9gty.net	成功收听	642788
http://www.9gty.net	成功收听	616279
http://www.9gty.net	成功收听	642756
http://www.9gty.net	成功收听	638437
http://www.9gty.net	成功收听	123375
http://www.9gty.net	成功收听	283242
http://www.9gty.net	成功收听	642789
http://www.9gty.net	成功收听	95901
http://www.9gty.net	成功收听	635928
http://www.9gty.net	成功收听	642790
http://www.9gty.net	成功收听	352106
http://www.9gty.net	成功收听	642214
http://www.9gty.net	成功收听	1526
http://www.9gty.net	成功收听	110209
http://www.9gty.net	成功收听	38120
http://www.9gty.net	成功收听	170136
http://www.9gty.net	成功收听	642791
http://www.9gty.net	成功收听	158736
http://www.9gty.net	成功收听	7369
http://www.9gty.net	成功收听	642458
http://www.9gty.net	成功收听	394465
http://www.9gty.net	成功收听	617618
http://www.9gty.net	成功收听	562867
http://www.9gty.net	成功收听	621035
http://www.9gty.net	成功收听	642792
http://www.9gty.net	成功收听	543355
