
2018-04-18 11:53:39	http://www.bdkbsmluntan.com
http://www.bdkbsmluntan.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.bdkbsmluntan.com	成功收听	16666
http://www.bdkbsmluntan.com	16666	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	16666	无任何返回结果，大多数情况下为发送成功
http://www.bdkbsmluntan.com	16666	正在等待验证
http://www.bdkbsmluntan.com	成功收听	67312
http://www.bdkbsmluntan.com	67312	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	67312	无任何返回结果，大多数情况下为发送成功
http://www.bdkbsmluntan.com	67312	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	已经收听过了
http://www.bdkbsmluntan.com	51372	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	51372	无任何返回结果，大多数情况下为发送成功
http://www.bdkbsmluntan.com	51372	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	成功收听	44774
http://www.bdkbsmluntan.com	44774	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	44774	无任何返回结果，大多数情况下为发送成功
http://www.bdkbsmluntan.com	44774	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	成功收听	67313
http://www.bdkbsmluntan.com	67313	已发送夜之真主下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	67313	无任何返回结果，大多数情况下为发送成功
http://www.bdkbsmluntan.com	67313	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	成功收听	56360
http://www.bdkbsmluntan.com	56360	已发送阿拉蕾下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	56360	无任何返回结果，大多数情况下为发送成功
http://www.bdkbsmluntan.com	56360	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	成功收听	31075
http://www.bdkbsmluntan.com	31075	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	31075	无任何返回结果，大多数情况下为发送成功
http://www.bdkbsmluntan.com	31075	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	成功收听	67314
http://www.bdkbsmluntan.com	67314	已发送森林里的麋鹿下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	67314	两次发送短消息太快请稍候再发送
http://www.bdkbsmluntan.com	67314	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	成功收听	66708
http://www.bdkbsmluntan.com	66708	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.bdkbsmluntan.com	66708	无任何返回结果，大多数情况下为发送成功
http://www.bdkbsmluntan.com	66708	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
