
2018-05-11 23:59:28	http://www.caitaluntan.com
http://www.caitaluntan.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.caitaluntan.com	成功收听	1578
http://www.caitaluntan.com	1578	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitaluntan.com	1578	无任何返回结果，大多数情况下为发送成功
http://www.caitaluntan.com	1578	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitaluntan.com	成功收听	1579
http://www.caitaluntan.com	1579	已发送小帅奴下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitaluntan.com	1579	无任何返回结果，大多数情况下为发送成功
http://www.caitaluntan.com	1579	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitaluntan.com	成功收听	1560
http://www.caitaluntan.com	1560	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitaluntan.com	1560	无任何返回结果，大多数情况下为发送成功
http://www.caitaluntan.com	1560	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitaluntan.com	成功收听	1445
http://www.caitaluntan.com	1445	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitaluntan.com	1445	无任何返回结果，大多数情况下为发送成功
http://www.caitaluntan.com	1445	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitaluntan.com	成功收听	1573
http://www.caitaluntan.com	1573	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitaluntan.com	1573	无任何返回结果，大多数情况下为发送成功
http://www.caitaluntan.com	1573	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitaluntan.com	成功收听	1580
http://www.caitaluntan.com	1580	已发送我不知道下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitaluntan.com	1580	无任何返回结果，大多数情况下为发送成功
http://www.caitaluntan.com	1580	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitaluntan.com	成功收听	1421
http://www.caitaluntan.com	1421	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitaluntan.com	1421	无任何返回结果，大多数情况下为发送成功
http://www.caitaluntan.com	1421	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
