
2018-05-11 23:59:39	http://www.caitashipin.com
http://www.caitashipin.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.caitashipin.com	成功收听	1223
http://www.caitashipin.com	1223	已发送恋足下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	1223	无任何返回结果，大多数情况下为发送成功
http://www.caitashipin.com	1223	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	成功收听	1939
http://www.caitashipin.com	1939	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	1939	无任何返回结果，大多数情况下为发送成功
http://www.caitashipin.com	1939	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	成功收听	1675
http://www.caitashipin.com	1675	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	1675	无任何返回结果，大多数情况下为发送成功
http://www.caitashipin.com	1675	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	成功收听	2080
http://www.caitashipin.com	2080	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	2080	无任何返回结果，大多数情况下为发送成功
http://www.caitashipin.com	2080	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	成功收听	398
http://www.caitashipin.com	398	已发送张宁宁下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	398	无任何返回结果，大多数情况下为发送成功
http://www.caitashipin.com	398	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	成功收听	2434
http://www.caitashipin.com	2434	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	2434	无任何返回结果，大多数情况下为发送成功
http://www.caitashipin.com	2434	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	成功收听	653
http://www.caitashipin.com	653	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	653	无任何返回结果，大多数情况下为发送成功
http://www.caitashipin.com	653	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	成功收听	2039
http://www.caitashipin.com	2039	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	2039	无任何返回结果，大多数情况下为发送成功
http://www.caitashipin.com	2039	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	成功收听	2479
http://www.caitashipin.com	2479	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	2479	无任何返回结果，大多数情况下为发送成功
http://www.caitashipin.com	2479	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	成功收听	530
http://www.caitashipin.com	530	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	530	无任何返回结果，大多数情况下为发送成功
http://www.caitashipin.com	530	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	成功收听	906
http://www.caitashipin.com	906	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	906	无任何返回结果，大多数情况下为发送成功
http://www.caitashipin.com	906	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	成功收听	2442
http://www.caitashipin.com	2442	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	2442	无任何返回结果，大多数情况下为发送成功
http://www.caitashipin.com	2442	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	成功收听	1063
http://www.caitashipin.com	1063	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.caitashipin.com	1063	无任何返回结果，大多数情况下为发送成功
http://www.caitashipin.com	1063	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
