
2018-05-11 23:59:48	http://www.caop2018.com
http://www.caop2018.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.caop2018.com	成功收听	68793
http://www.caop2018.com	成功收听	67125
http://www.caop2018.com	成功收听	68697
http://www.caop2018.com	成功收听	68804
http://www.caop2018.com	成功收听	68434
http://www.caop2018.com	成功收听	68588
http://www.caop2018.com	成功收听	65578
http://www.caop2018.com	成功收听	68796
http://www.caop2018.com	成功收听	68803
http://www.caop2018.com	成功收听	68805
http://www.caop2018.com	成功收听	68784
http://www.caop2018.com	成功收听	68802
http://www.caop2018.com	成功收听	68801
http://www.caop2018.com	成功收听	68461
http://www.caop2018.com	成功收听	68474
http://www.caop2018.com	成功收听	68795
http://www.caop2018.com	成功收听	68667
http://www.caop2018.com	成功收听	67108
http://www.caop2018.com	成功收听	67514
http://www.caop2018.com	成功收听	68312
http://www.caop2018.com	成功收听	68806
http://www.caop2018.com	成功收听	68561
