
2018-04-18 11:55:29	http://www.dayunche.com
http://www.dayunche.com	管理组：['管理员', '分区版主', '版主', '作者', '督查']
http://www.dayunche.com	已经收听过了
http://www.dayunche.com	8995	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	8995	正在等待验证
http://www.dayunche.com	成功收听	2761
http://www.dayunche.com	2761	已发送死神绝影下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	2761	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	已经收听过了
http://www.dayunche.com	8248	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	8248	正在等待验证
http://www.dayunche.com	成功收听	8996
http://www.dayunche.com	8996	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	8996	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	成功收听	2308
http://www.dayunche.com	2308	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	2308	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	成功收听	965
http://www.dayunche.com	965	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	965	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	成功收听	8662
http://www.dayunche.com	8662	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	8662	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	成功收听	6260
http://www.dayunche.com	6260	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	6260	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	成功收听	9000
http://www.dayunche.com	9000	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	9000	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	成功收听	9006
http://www.dayunche.com	9006	已发送尧尧啊下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	9006	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	成功收听	8721
http://www.dayunche.com	8721	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	8721	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	成功收听	7670
http://www.dayunche.com	7670	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	7670	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	成功收听	8783
http://www.dayunche.com	8783	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.dayunche.com	8783	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
