
2018-05-12 00:00:00	http://www.downfuli.com
http://www.downfuli.com	管理组：['当铺掌柜', '掌柜夫人', '当铺伙计']
http://www.downfuli.com	成功收听	3918
http://www.downfuli.com	3918	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	14229
http://www.downfuli.com	14229	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	99
http://www.downfuli.com	99	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	12953
http://www.downfuli.com	12953	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	10998
http://www.downfuli.com	10998	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	14736
http://www.downfuli.com	成功收听	14085
http://www.downfuli.com	14085	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	14549
http://www.downfuli.com	14549	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	10906
http://www.downfuli.com	10906	两次发送短消息太快请稍候再发送
http://www.downfuli.com	成功收听	14744
http://www.downfuli.com	14744	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	14745
http://www.downfuli.com	14745	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	12217
http://www.downfuli.com	成功收听	14746
http://www.downfuli.com	14746	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	14747
http://www.downfuli.com	14747	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	1720
http://www.downfuli.com	1720	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	14748
http://www.downfuli.com	14748	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	14749
http://www.downfuli.com	14749	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	13133
http://www.downfuli.com	13133	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	5518
http://www.downfuli.com	5518	无任何返回结果，大多数情况下为发送成功
http://www.downfuli.com	成功收听	14750
http://www.downfuli.com	14750	无任何返回结果，大多数情况下为发送成功
