
2018-04-18 11:55:38	http://www.fujialuntan.com
http://www.fujialuntan.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.fujialuntan.com	成功收听	80
http://www.fujialuntan.com	80	已发送光明达下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	80	无任何返回结果，大多数情况下为发送成功
http://www.fujialuntan.com	80	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	已经收听过了
http://www.fujialuntan.com	83	已发送伯符爱下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	83	两次发送短消息太快请稍候再发送
http://www.fujialuntan.com	83	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	成功收听	85
http://www.fujialuntan.com	85	已发送广彦碧下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	85	无任何返回结果，大多数情况下为发送成功
http://www.fujialuntan.com	85	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	成功收听	87
http://www.fujialuntan.com	87	已发送娇泚清下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	87	无任何返回结果，大多数情况下为发送成功
http://www.fujialuntan.com	87	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	成功收听	90
http://www.fujialuntan.com	90	已发送瑜先浩下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	90	无任何返回结果，大多数情况下为发送成功
http://www.fujialuntan.com	90	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	成功收听	97
http://www.fujialuntan.com	97	已发送春栋旦下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	97	无任何返回结果，大多数情况下为发送成功
http://www.fujialuntan.com	97	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	成功收听	116
http://www.fujialuntan.com	116	已发送东万福下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	116	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	成功收听	133
http://www.fujialuntan.com	133	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	133	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	成功收听	181
http://www.fujialuntan.com	181	已发送唯汇达下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	181	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	成功收听	180
http://www.fujialuntan.com	180	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	180	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	成功收听	179
http://www.fujialuntan.com	179	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	179	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	成功收听	275
http://www.fujialuntan.com	275	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.fujialuntan.com	275	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
