
2018-05-12 00:00:13	http://www.iyw666.com
http://www.iyw666.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.iyw666.com	成功收听	3972
http://www.iyw666.com	3972	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	3972	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	183
http://www.iyw666.com	183	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	183	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	183	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	2728
http://www.iyw666.com	2728	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	2728	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	2728	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	3073
http://www.iyw666.com	3073	已发送手机用户下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	3073	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	3073	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	3710
http://www.iyw666.com	3710	已发送李某人下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	3710	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	3710	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	3916
http://www.iyw666.com	3916	已发送呵呵哒下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	3916	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	3916	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	2491
http://www.iyw666.com	2491	已发送老婆下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	2491	无任何返回结果，大多数情况下为发送成功
http://www.iyw666.com	2491	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	成功收听	516
http://www.iyw666.com	516	已发送原味老哥下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.iyw666.com	516	无任何返回结果，大多数情况下为发送成功
