
2018-05-12 00:00:01	http://www.jiepaids.com
http://www.jiepaids.com	管理组：['管理员', '超级版主', '版主']
http://www.jiepaids.com	成功收听	604994
http://www.jiepaids.com	成功收听	596740
http://www.jiepaids.com	成功收听	573579
http://www.jiepaids.com	成功收听	621906
http://www.jiepaids.com	成功收听	673420
http://www.jiepaids.com	成功收听	673418
http://www.jiepaids.com	成功收听	584256
http://www.jiepaids.com	成功收听	654606
http://www.jiepaids.com	成功收听	673417
http://www.jiepaids.com	成功收听	583706
http://www.jiepaids.com	成功收听	623417
http://www.jiepaids.com	成功收听	631519
http://www.jiepaids.com	成功收听	673416
http://www.jiepaids.com	成功收听	585067
http://www.jiepaids.com	成功收听	645359
http://www.jiepaids.com	成功收听	670422
http://www.jiepaids.com	成功收听	673039
http://www.jiepaids.com	成功收听	673414
http://www.jiepaids.com	成功收听	659887
http://www.jiepaids.com	成功收听	673413
http://www.jiepaids.com	成功收听	647181
http://www.jiepaids.com	成功收听	604674
http://www.jiepaids.com	成功收听	673412
http://www.jiepaids.com	成功收听	624521
http://www.jiepaids.com	成功收听	673234
http://www.jiepaids.com	成功收听	162028
http://www.jiepaids.com	成功收听	673398
http://www.jiepaids.com	成功收听	659098
http://www.jiepaids.com	成功收听	665951
http://www.jiepaids.com	成功收听	639397
http://www.jiepaids.com	成功收听	651272
http://www.jiepaids.com	成功收听	673411
http://www.jiepaids.com	成功收听	663712
http://www.jiepaids.com	成功收听	673410
http://www.jiepaids.com	成功收听	665591
http://www.jiepaids.com	成功收听	613602
http://www.jiepaids.com	成功收听	630185
http://www.jiepaids.com	成功收听	671662
http://www.jiepaids.com	成功收听	673409
http://www.jiepaids.com	成功收听	673408
http://www.jiepaids.com	成功收听	621849
http://www.jiepaids.com	成功收听	673423
http://www.jiepaids.com	成功收听	608957
http://www.jiepaids.com	成功收听	673422
http://www.jiepaids.com	成功收听	658784
http://www.jiepaids.com	成功收听	607113
http://www.jiepaids.com	成功收听	160294
http://www.jiepaids.com	成功收听	673421
http://www.jiepaids.com	成功收听	597579
http://www.jiepaids.com	成功收听	673419
http://www.jiepaids.com	成功收听	671997
http://www.jiepaids.com	成功收听	669802
http://www.jiepaids.com	成功收听	673415
http://www.jiepaids.com	成功收听	637751
http://www.jiepaids.com	成功收听	286360
http://www.jiepaids.com	成功收听	549378
http://www.jiepaids.com	成功收听	659856
http://www.jiepaids.com	成功收听	658294
