
2018-04-18 11:57:19	http://www.jp59.com
http://www.jp59.com	管理组：['Administrator', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.jp59.com	已经收听过了
http://www.jp59.com	10717	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.jp59.com	10717	两次发送短消息太快请稍候再发送
http://www.jp59.com	10717	正在等待验证
http://www.jp59.com	成功收听	14341
http://www.jp59.com	14341	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.jp59.com	14341	无任何返回结果，大多数情况下为发送成功
http://www.jp59.com	14341	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jp59.com	成功收听	15805
http://www.jp59.com	15805	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.jp59.com	15805	无任何返回结果，大多数情况下为发送成功
http://www.jp59.com	15805	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
