
2018-05-12 00:00:02	http://www.jsgbbb.com
http://www.jsgbbb.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.jsgbbb.com	成功收听	293269
http://www.jsgbbb.com	成功收听	383179
http://www.jsgbbb.com	成功收听	346431
http://www.jsgbbb.com	成功收听	381841
http://www.jsgbbb.com	成功收听	3089
http://www.jsgbbb.com	成功收听	79035
http://www.jsgbbb.com	成功收听	378914
http://www.jsgbbb.com	成功收听	85019
http://www.jsgbbb.com	成功收听	383178
http://www.jsgbbb.com	已经收听过了
http://www.jsgbbb.com	成功收听	382275
http://www.jsgbbb.com	成功收听	383161
http://www.jsgbbb.com	成功收听	383180
http://www.jsgbbb.com	成功收听	383177
http://www.jsgbbb.com	成功收听	383176
http://www.jsgbbb.com	成功收听	383175
http://www.jsgbbb.com	成功收听	383171
http://www.jsgbbb.com	成功收听	13347
http://www.jsgbbb.com	成功收听	383174
http://www.jsgbbb.com	成功收听	383181
http://www.jsgbbb.com	成功收听	380896
http://www.jsgbbb.com	成功收听	383182
http://www.jsgbbb.com	成功收听	336974
http://www.jsgbbb.com	成功收听	383183
http://www.jsgbbb.com	成功收听	383173
http://www.jsgbbb.com	成功收听	383185
http://www.jsgbbb.com	成功收听	383184
http://www.jsgbbb.com	成功收听	277870
http://www.jsgbbb.com	成功收听	94559
http://www.jsgbbb.com	成功收听	383186
http://www.jsgbbb.com	成功收听	383187
http://www.jsgbbb.com	成功收听	383188
http://www.jsgbbb.com	成功收听	383189
http://www.jsgbbb.com	成功收听	59558
http://www.jsgbbb.com	成功收听	383190
http://www.jsgbbb.com	成功收听	383191
http://www.jsgbbb.com	成功收听	383192
http://www.jsgbbb.com	成功收听	383193
http://www.jsgbbb.com	成功收听	258744
http://www.jsgbbb.com	成功收听	10236
http://www.jsgbbb.com	成功收听	298768
http://www.jsgbbb.com	成功收听	311027
http://www.jsgbbb.com	成功收听	383194
http://www.jsgbbb.com	成功收听	203170
http://www.jsgbbb.com	成功收听	383195
http://www.jsgbbb.com	成功收听	383196
http://www.jsgbbb.com	成功收听	3955
http://www.jsgbbb.com	成功收听	263580
http://www.jsgbbb.com	成功收听	383201
http://www.jsgbbb.com	成功收听	383200
http://www.jsgbbb.com	成功收听	383198
http://www.jsgbbb.com	成功收听	383197
http://www.jsgbbb.com	成功收听	383199
http://www.jsgbbb.com	成功收听	383202
http://www.jsgbbb.com	成功收听	12027
http://www.jsgbbb.com	成功收听	383203
http://www.jsgbbb.com	成功收听	383204
http://www.jsgbbb.com	成功收听	383205
http://www.jsgbbb.com	成功收听	87214
http://www.jsgbbb.com	成功收听	383207
http://www.jsgbbb.com	成功收听	383206
http://www.jsgbbb.com	成功收听	35193
http://www.jsgbbb.com	成功收听	383208
http://www.jsgbbb.com	成功收听	383209
http://www.jsgbbb.com	成功收听	383210
http://www.jsgbbb.com	成功收听	248051
http://www.jsgbbb.com	成功收听	3000
http://www.jsgbbb.com	成功收听	4473
http://www.jsgbbb.com	成功收听	383211
http://www.jsgbbb.com	成功收听	383212
http://www.jsgbbb.com	成功收听	383213
http://www.jsgbbb.com	成功收听	382468
http://www.jsgbbb.com	成功收听	383214
http://www.jsgbbb.com	成功收听	383215
http://www.jsgbbb.com	成功收听	383216
http://www.jsgbbb.com	成功收听	365369
http://www.jsgbbb.com	成功收听	379983
http://www.jsgbbb.com	成功收听	383217
http://www.jsgbbb.com	成功收听	383218
http://www.jsgbbb.com	成功收听	383219
http://www.jsgbbb.com	成功收听	383220
http://www.jsgbbb.com	成功收听	380601
http://www.jsgbbb.com	成功收听	382661
http://www.jsgbbb.com	成功收听	383221
http://www.jsgbbb.com	成功收听	382412
http://www.jsgbbb.com	成功收听	383222
http://www.jsgbbb.com	成功收听	383223
http://www.jsgbbb.com	成功收听	382908
http://www.jsgbbb.com	成功收听	63185
http://www.jsgbbb.com	成功收听	120313
http://www.jsgbbb.com	成功收听	383224
http://www.jsgbbb.com	成功收听	383225
http://www.jsgbbb.com	成功收听	383226
http://www.jsgbbb.com	成功收听	380696
http://www.jsgbbb.com	成功收听	383227
http://www.jsgbbb.com	成功收听	66470
http://www.jsgbbb.com	成功收听	383228
http://www.jsgbbb.com	成功收听	260465
http://www.jsgbbb.com	成功收听	383229
http://www.jsgbbb.com	成功收听	383230
http://www.jsgbbb.com	成功收听	380996
http://www.jsgbbb.com	成功收听	383231
http://www.jsgbbb.com	成功收听	364037
http://www.jsgbbb.com	成功收听	12098
http://www.jsgbbb.com	成功收听	383232
http://www.jsgbbb.com	成功收听	383233
http://www.jsgbbb.com	成功收听	383234
http://www.jsgbbb.com	成功收听	124356
http://www.jsgbbb.com	成功收听	383235
http://www.jsgbbb.com	成功收听	383236
http://www.jsgbbb.com	成功收听	128225
http://www.jsgbbb.com	成功收听	139697
http://www.jsgbbb.com	成功收听	383237
http://www.jsgbbb.com	成功收听	383238
http://www.jsgbbb.com	成功收听	383239
http://www.jsgbbb.com	成功收听	269292
http://www.jsgbbb.com	成功收听	380183
http://www.jsgbbb.com	成功收听	379611
http://www.jsgbbb.com	成功收听	383240
http://www.jsgbbb.com	成功收听	379141
http://www.jsgbbb.com	成功收听	383241
http://www.jsgbbb.com	成功收听	383243
http://www.jsgbbb.com	成功收听	383242
http://www.jsgbbb.com	成功收听	383244
http://www.jsgbbb.com	成功收听	262433
http://www.jsgbbb.com	成功收听	383245
http://www.jsgbbb.com	成功收听	383246
http://www.jsgbbb.com	成功收听	383247
http://www.jsgbbb.com	成功收听	383248
http://www.jsgbbb.com	成功收听	383249
http://www.jsgbbb.com	成功收听	383250
http://www.jsgbbb.com	成功收听	383251
http://www.jsgbbb.com	成功收听	383252
http://www.jsgbbb.com	成功收听	383253
http://www.jsgbbb.com	成功收听	383254
http://www.jsgbbb.com	成功收听	3471
http://www.jsgbbb.com	成功收听	383255
http://www.jsgbbb.com	成功收听	383256
http://www.jsgbbb.com	成功收听	383257
http://www.jsgbbb.com	成功收听	383258
http://www.jsgbbb.com	成功收听	383259
http://www.jsgbbb.com	成功收听	94896
http://www.jsgbbb.com	成功收听	383260
http://www.jsgbbb.com	成功收听	7533
http://www.jsgbbb.com	成功收听	137382
http://www.jsgbbb.com	成功收听	383261
http://www.jsgbbb.com	成功收听	249504
http://www.jsgbbb.com	成功收听	383263
http://www.jsgbbb.com	成功收听	383262
http://www.jsgbbb.com	成功收听	383264
http://www.jsgbbb.com	成功收听	383265
http://www.jsgbbb.com	成功收听	383266
http://www.jsgbbb.com	成功收听	383267
http://www.jsgbbb.com	成功收听	383268
http://www.jsgbbb.com	成功收听	383269
http://www.jsgbbb.com	成功收听	383270
http://www.jsgbbb.com	成功收听	383271
http://www.jsgbbb.com	成功收听	383272
http://www.jsgbbb.com	成功收听	383273
http://www.jsgbbb.com	成功收听	383274
http://www.jsgbbb.com	成功收听	383275
http://www.jsgbbb.com	成功收听	383276
http://www.jsgbbb.com	成功收听	77120
http://www.jsgbbb.com	成功收听	383277
http://www.jsgbbb.com	成功收听	383278
http://www.jsgbbb.com	成功收听	383279
http://www.jsgbbb.com	成功收听	292023
http://www.jsgbbb.com	成功收听	383280
http://www.jsgbbb.com	成功收听	383281
http://www.jsgbbb.com	成功收听	383282
http://www.jsgbbb.com	成功收听	383283
http://www.jsgbbb.com	成功收听	383284
http://www.jsgbbb.com	成功收听	383285
http://www.jsgbbb.com	成功收听	383286
http://www.jsgbbb.com	成功收听	383287
http://www.jsgbbb.com	成功收听	383288
http://www.jsgbbb.com	成功收听	383289
http://www.jsgbbb.com	成功收听	328128
http://www.jsgbbb.com	成功收听	383290
http://www.jsgbbb.com	成功收听	383291
http://www.jsgbbb.com	成功收听	383292
http://www.jsgbbb.com	成功收听	383293
http://www.jsgbbb.com	成功收听	383295
http://www.jsgbbb.com	成功收听	383294
http://www.jsgbbb.com	成功收听	383296
http://www.jsgbbb.com	成功收听	75978
http://www.jsgbbb.com	成功收听	383297
http://www.jsgbbb.com	成功收听	383298
http://www.jsgbbb.com	成功收听	53939
http://www.jsgbbb.com	成功收听	352271
http://www.jsgbbb.com	成功收听	383299
http://www.jsgbbb.com	成功收听	383300
http://www.jsgbbb.com	成功收听	260904
http://www.jsgbbb.com	成功收听	383301
http://www.jsgbbb.com	成功收听	383302
http://www.jsgbbb.com	成功收听	383303
http://www.jsgbbb.com	成功收听	248497
http://www.jsgbbb.com	成功收听	381840
http://www.jsgbbb.com	成功收听	383304
http://www.jsgbbb.com	成功收听	331170
http://www.jsgbbb.com	成功收听	382540
http://www.jsgbbb.com	成功收听	383305
http://www.jsgbbb.com	成功收听	383306
http://www.jsgbbb.com	成功收听	11954
http://www.jsgbbb.com	成功收听	10593
http://www.jsgbbb.com	成功收听	27664
http://www.jsgbbb.com	成功收听	263340
http://www.jsgbbb.com	成功收听	383307
http://www.jsgbbb.com	成功收听	383308
http://www.jsgbbb.com	成功收听	383309
