
2018-05-12 00:02:37	http://www.jsmruu.com
http://www.jsmruu.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.jsmruu.com	成功收听	54758
http://www.jsmruu.com	54758	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	54758	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	32398
http://www.jsmruu.com	32398	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	成功收听	45850
http://www.jsmruu.com	45850	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	45850	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	44568
http://www.jsmruu.com	44568	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	44568	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	55467
http://www.jsmruu.com	55467	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	55467	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	54703
http://www.jsmruu.com	54703	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	54703	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	57249
http://www.jsmruu.com	57249	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	57249	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	57267
http://www.jsmruu.com	57267	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	57267	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	43998	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	43998	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	57255
http://www.jsmruu.com	57255	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	57255	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	54667
http://www.jsmruu.com	54667	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	54667	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	57256
http://www.jsmruu.com	57256	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	34534	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	34534	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	57251
http://www.jsmruu.com	57251	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	57251	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	43998
http://www.jsmruu.com	43998	正在等待验证
http://www.jsmruu.com	成功收听	57268
http://www.jsmruu.com	57268	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	34405
http://www.jsmruu.com	34405	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	34405	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	57262
http://www.jsmruu.com	57262	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	57262	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	57269
http://www.jsmruu.com	57269	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	57269	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	57257
http://www.jsmruu.com	57257	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	57257	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	57258
http://www.jsmruu.com	57258	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	57258	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	57270
http://www.jsmruu.com	57270	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	57270	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	已经收听过了
http://www.jsmruu.com	57270	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	57270	正在等待验证
http://www.jsmruu.com	成功收听	34534
http://www.jsmruu.com	34534	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	34534	正在等待验证
http://www.jsmruu.com	成功收听	53406
http://www.jsmruu.com	53406	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	53406	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	11894
http://www.jsmruu.com	11894	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	11894	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	57271
http://www.jsmruu.com	57271	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	57271	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	57254
http://www.jsmruu.com	57254	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	57254	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.jsmruu.com	成功收听	57261
http://www.jsmruu.com	57261	无任何返回结果，大多数情况下为发送成功
http://www.jsmruu.com	57261	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
