
2018-04-18 11:57:42	http://www.kali.org.cn
http://www.kali.org.cn	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.kali.org.cn	已经收听过了
http://www.kali.org.cn	已经收听过了
http://www.kali.org.cn	成功收听	345239
http://www.kali.org.cn	成功收听	290506
http://www.kali.org.cn	成功收听	282561
http://www.kali.org.cn	成功收听	501091
http://www.kali.org.cn	成功收听	501092
http://www.kali.org.cn	已经收听过了
http://www.kali.org.cn	成功收听	501095
http://www.kali.org.cn	成功收听	501094
http://www.kali.org.cn	成功收听	495926
http://www.kali.org.cn	成功收听	501097
http://www.kali.org.cn	成功收听	313914
http://www.kali.org.cn	成功收听	501101
http://www.kali.org.cn	成功收听	501100
http://www.kali.org.cn	成功收听	501103
http://www.kali.org.cn	成功收听	501065
http://www.kali.org.cn	成功收听	501069
http://www.kali.org.cn	成功收听	501105
http://www.kali.org.cn	成功收听	501106
http://www.kali.org.cn	成功收听	501108
http://www.kali.org.cn	成功收听	365099
http://www.kali.org.cn	成功收听	501110
http://www.kali.org.cn	成功收听	490404
http://www.kali.org.cn	成功收听	501124
http://www.kali.org.cn	成功收听	495720
