
2018-05-12 00:00:42	http://www.mengfoot.com
http://www.mengfoot.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.mengfoot.com	成功收听	13798
http://www.mengfoot.com	13798	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.mengfoot.com	13798	无任何返回结果，大多数情况下为发送成功
http://www.mengfoot.com	13798	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.mengfoot.com	成功收听	16637
http://www.mengfoot.com	16637	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.mengfoot.com	16637	两次发送短消息太快请稍候再发送
http://www.mengfoot.com	16637	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.mengfoot.com	成功收听	13835
http://www.mengfoot.com	13835	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.mengfoot.com	13835	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.mengfoot.com	成功收听	1413
http://www.mengfoot.com	1413	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.mengfoot.com	1413	无任何返回结果，大多数情况下为发送成功
http://www.mengfoot.com	1413	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.mengfoot.com	成功收听	16091
http://www.mengfoot.com	16091	已发送小福宽下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.mengfoot.com	16091	无任何返回结果，大多数情况下为发送成功
http://www.mengfoot.com	16091	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.mengfoot.com	成功收听	6160
