
2018-04-18 12:00:00	http://www.nsfl2017.com
http://www.nsfl2017.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.nsfl2017.com	已经收听过了
http://www.nsfl2017.com	3168	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	3168	两次发送短消息太快请稍候再发送
http://www.nsfl2017.com	3168	正在等待验证
http://www.nsfl2017.com	成功收听	1735
http://www.nsfl2017.com	1735	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	1735	无任何返回结果，大多数情况下为发送成功
http://www.nsfl2017.com	1735	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	已经收听过了
http://www.nsfl2017.com	2107	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	2107	两次发送短消息太快请稍候再发送
http://www.nsfl2017.com	2107	正在等待验证
http://www.nsfl2017.com	成功收听	2837
http://www.nsfl2017.com	2837	已发送不做哪来的爱下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	2837	无任何返回结果，大多数情况下为发送成功
http://www.nsfl2017.com	2837	正在等待验证
http://www.nsfl2017.com	已经收听过了
http://www.nsfl2017.com	2129	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	2129	两次发送短消息太快请稍候再发送
http://www.nsfl2017.com	2129	正在等待验证
http://www.nsfl2017.com	成功收听	3066
http://www.nsfl2017.com	3066	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	3066	无任何返回结果，大多数情况下为发送成功
http://www.nsfl2017.com	3066	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	成功收听	1914
http://www.nsfl2017.com	1914	已发送高杰杰下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	1914	两次发送短消息太快请稍候再发送
http://www.nsfl2017.com	1914	正在等待验证
http://www.nsfl2017.com	成功收听	518
http://www.nsfl2017.com	518	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	518	两次发送短消息太快请稍候再发送
http://www.nsfl2017.com	518	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	成功收听	3103
http://www.nsfl2017.com	3103	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	3103	无任何返回结果，大多数情况下为发送成功
http://www.nsfl2017.com	3103	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	成功收听	2956
http://www.nsfl2017.com	2956	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	2956	两次发送短消息太快请稍候再发送
http://www.nsfl2017.com	2956	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	已经收听过了
http://www.nsfl2017.com	3275	已发送十叁下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	3275	两次发送短消息太快请稍候再发送
http://www.nsfl2017.com	3275	正在等待验证
http://www.nsfl2017.com	成功收听	1195
http://www.nsfl2017.com	1195	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	1195	正在等待验证
http://www.nsfl2017.com	已经收听过了
http://www.nsfl2017.com	2686	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	2686	正在等待验证
http://www.nsfl2017.com	成功收听	1486
http://www.nsfl2017.com	1486	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.nsfl2017.com	1486	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
