
2018-05-12 00:05:25	http://www.puyoux.com
http://www.puyoux.com	管理组：['管理员', '超级版主', '本站网友', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.puyoux.com	成功收听	268187
http://www.puyoux.com	268187	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.puyoux.com	268187	无任何返回结果，大多数情况下为发送成功
http://www.puyoux.com	268187	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.puyoux.com	成功收听	268186
http://www.puyoux.com	268186	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.puyoux.com	268186	无任何返回结果，大多数情况下为发送成功
http://www.puyoux.com	268186	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.puyoux.com	成功收听	268166
http://www.puyoux.com	268166	已发送方壮和下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.puyoux.com	268166	无任何返回结果，大多数情况下为发送成功
http://www.puyoux.com	268166	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
