
2018-04-18 12:02:12	http://www.selutang01.com
http://www.selutang01.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.selutang01.com	成功收听	9760
http://www.selutang01.com	9760	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	9760	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	9760	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	10852
http://www.selutang01.com	10852	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	10852	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	10852	正在等待验证
http://www.selutang01.com	已经收听过了
http://www.selutang01.com	11990	已发送张博博下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	11990	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	11990	正在等待验证
http://www.selutang01.com	成功收听	11991
http://www.selutang01.com	11991	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	11991	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	11991	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	成功收听	11409
http://www.selutang01.com	11409	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	11409	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	11409	正在等待验证
http://www.selutang01.com	成功收听	10685
http://www.selutang01.com	10685	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	10685	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	10685	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	已经收听过了
http://www.selutang01.com	1071	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	1071	无任何返回结果，大多数情况下为发送成功
http://www.selutang01.com	1071	正在等待验证
http://www.selutang01.com	成功收听	11034
http://www.selutang01.com	11034	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.selutang01.com	11034	无任何返回结果，大多数情况下为发送成功
