
2018-05-12 00:01:31	http://www.shaikecn.com
http://www.shaikecn.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员', '永久VIP会员', '年VIP会员']
http://www.shaikecn.com	成功收听	13585
http://www.shaikecn.com	成功收听	14538
http://www.shaikecn.com	成功收听	28119
http://www.shaikecn.com	成功收听	19345
http://www.shaikecn.com	成功收听	27960
http://www.shaikecn.com	成功收听	27881
http://www.shaikecn.com	成功收听	25226
http://www.shaikecn.com	成功收听	15691
http://www.shaikecn.com	成功收听	27910
http://www.shaikecn.com	成功收听	28045
http://www.shaikecn.com	成功收听	19100
http://www.shaikecn.com	成功收听	27506
http://www.shaikecn.com	成功收听	27998
http://www.shaikecn.com	成功收听	28120
http://www.shaikecn.com	成功收听	27884
http://www.shaikecn.com	成功收听	26588
http://www.shaikecn.com	成功收听	27344
http://www.shaikecn.com	成功收听	27796
http://www.shaikecn.com	成功收听	28121
http://www.shaikecn.com	成功收听	28122
http://www.shaikecn.com	成功收听	28123
http://www.shaikecn.com	成功收听	27701
http://www.shaikecn.com	成功收听	9196
http://www.shaikecn.com	成功收听	18431
http://www.shaikecn.com	成功收听	19641
http://www.shaikecn.com	成功收听	25907
http://www.shaikecn.com	成功收听	19590
http://www.shaikecn.com	成功收听	25588
http://www.shaikecn.com	成功收听	26563
http://www.shaikecn.com	成功收听	27798
http://www.shaikecn.com	成功收听	11962
http://www.shaikecn.com	成功收听	28124
http://www.shaikecn.com	成功收听	19034
http://www.shaikecn.com	成功收听	19081
http://www.shaikecn.com	成功收听	27982
http://www.shaikecn.com	成功收听	13165
