
2018-05-12 00:01:54	http://www.shanghaiyewang.com
http://www.shanghaiyewang.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.shanghaiyewang.com	成功收听	4975
http://www.shanghaiyewang.com	4975	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shanghaiyewang.com	4975	无任何返回结果，大多数情况下为发送成功
http://www.shanghaiyewang.com	4975	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shanghaiyewang.com	成功收听	4972
http://www.shanghaiyewang.com	4972	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shanghaiyewang.com	4972	无任何返回结果，大多数情况下为发送成功
http://www.shanghaiyewang.com	4972	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shanghaiyewang.com	成功收听	4973
http://www.shanghaiyewang.com	4973	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shanghaiyewang.com	4973	无任何返回结果，大多数情况下为发送成功
http://www.shanghaiyewang.com	4973	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shanghaiyewang.com	成功收听	4976
http://www.shanghaiyewang.com	4976	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shanghaiyewang.com	4976	无任何返回结果，大多数情况下为发送成功
http://www.shanghaiyewang.com	4976	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shanghaiyewang.com	成功收听	4977
http://www.shanghaiyewang.com	4977	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shanghaiyewang.com	4977	无任何返回结果，大多数情况下为发送成功
http://www.shanghaiyewang.com	4977	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
