
2018-04-18 12:02:48	http://www.shibavip.com
http://www.shibavip.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员', '网盘发布组', 'VIP视频发布组']
http://www.shibavip.com	成功收听	29623
http://www.shibavip.com	成功收听	29624
http://www.shibavip.com	成功收听	29625
http://www.shibavip.com	成功收听	29627
http://www.shibavip.com	成功收听	29628
http://www.shibavip.com	成功收听	29629
http://www.shibavip.com	成功收听	29632
http://www.shibavip.com	成功收听	29633
http://www.shibavip.com	成功收听	29634
http://www.shibavip.com	成功收听	29636
http://www.shibavip.com	成功收听	29638
http://www.shibavip.com	成功收听	29639
http://www.shibavip.com	成功收听	29640
http://www.shibavip.com	成功收听	29641
http://www.shibavip.com	成功收听	29642
http://www.shibavip.com	成功收听	29643
http://www.shibavip.com	成功收听	29644
http://www.shibavip.com	成功收听	29645
http://www.shibavip.com	成功收听	29646
http://www.shibavip.com	成功收听	29649
http://www.shibavip.com	成功收听	29650
http://www.shibavip.com	成功收听	29653
http://www.shibavip.com	成功收听	29654
http://www.shibavip.com	成功收听	29655
http://www.shibavip.com	成功收听	29660
http://www.shibavip.com	成功收听	29661
http://www.shibavip.com	成功收听	29663
http://www.shibavip.com	成功收听	29665
http://www.shibavip.com	成功收听	29668
http://www.shibavip.com	成功收听	29677
http://www.shibavip.com	已经收听过了
http://www.shibavip.com	成功收听	29685
http://www.shibavip.com	成功收听	29693
http://www.shibavip.com	成功收听	29694
http://www.shibavip.com	成功收听	29702
http://www.shibavip.com	成功收听	29701
http://www.shibavip.com	成功收听	29700
http://www.shibavip.com	成功收听	29708
