
2018-05-12 00:01:37	http://www.shunv123.com
http://www.shunv123.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.shunv123.com	成功收听	50392
http://www.shunv123.com	50392	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	50392	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	43238
http://www.shunv123.com	43238	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	43238	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	43238	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	52867
http://www.shunv123.com	52867	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	53213
http://www.shunv123.com	53213	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	53213	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	成功收听	5360
http://www.shunv123.com	5360	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	5360	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	42676
http://www.shunv123.com	42676	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	42676	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	53214
http://www.shunv123.com	53214	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	53214	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	53214	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	42908
http://www.shunv123.com	42908	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	42908	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	42908	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	53215
http://www.shunv123.com	53215	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	53215	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	53215	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	53216
http://www.shunv123.com	53216	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	53216	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	53216	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	53217
http://www.shunv123.com	53217	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	53217	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	53217	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	53218
http://www.shunv123.com	53218	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	53218	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	53218	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	39550
http://www.shunv123.com	39550	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	39550	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	39550	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	44322
http://www.shunv123.com	44322	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	44322	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	44322	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	53219
http://www.shunv123.com	53219	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	53219	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	53219	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	53220
http://www.shunv123.com	53220	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	53220	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	53220	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	50765
http://www.shunv123.com	50765	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	50765	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	43330
http://www.shunv123.com	43330	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	43330	无任何返回结果，大多数情况下为发送成功
http://www.shunv123.com	43330	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	成功收听	53221
http://www.shunv123.com	53221	已发送东宋僮下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.shunv123.com	53221	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
