
2018-04-18 12:04:33	http://www.sy52.cc
http://www.sy52.cc	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.sy52.cc	成功收听	8239
http://www.sy52.cc	8239	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.sy52.cc	8239	正在等待验证
http://www.sy52.cc	成功收听	8240
http://www.sy52.cc	8240	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.sy52.cc	8240	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.sy52.cc	成功收听	4471
http://www.sy52.cc	4471	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.sy52.cc	4471	正在等待验证
http://www.sy52.cc	成功收听	4225
http://www.sy52.cc	4225	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.sy52.cc	4225	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
