
2018-05-12 00:01:49	http://www.tianshishequ.info
http://www.tianshishequ.info	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.tianshishequ.info	成功收听	49356
http://www.tianshishequ.info	成功收听	17517
http://www.tianshishequ.info	成功收听	17766
http://www.tianshishequ.info	成功收听	49380
http://www.tianshishequ.info	成功收听	49383
http://www.tianshishequ.info	成功收听	49268
http://www.tianshishequ.info	成功收听	49382
http://www.tianshishequ.info	成功收听	41437
http://www.tianshishequ.info	成功收听	29277
http://www.tianshishequ.info	成功收听	18439
http://www.tianshishequ.info	成功收听	49384
http://www.tianshishequ.info	成功收听	49379
http://www.tianshishequ.info	成功收听	49319
http://www.tianshishequ.info	成功收听	49381
http://www.tianshishequ.info	成功收听	49371
http://www.tianshishequ.info	成功收听	8493
http://www.tianshishequ.info	成功收听	16564
http://www.tianshishequ.info	成功收听	49374
http://www.tianshishequ.info	已经收听过了
http://www.tianshishequ.info	成功收听	49378
http://www.tianshishequ.info	成功收听	13624
http://www.tianshishequ.info	成功收听	49189
http://www.tianshishequ.info	成功收听	49316
http://www.tianshishequ.info	成功收听	33259
http://www.tianshishequ.info	成功收听	44489
http://www.tianshishequ.info	成功收听	33608
http://www.tianshishequ.info	成功收听	49342
http://www.tianshishequ.info	成功收听	49376
http://www.tianshishequ.info	成功收听	49372
http://www.tianshishequ.info	成功收听	49377
http://www.tianshishequ.info	成功收听	47922
http://www.tianshishequ.info	成功收听	49367
http://www.tianshishequ.info	成功收听	49373
http://www.tianshishequ.info	成功收听	49360
http://www.tianshishequ.info	成功收听	41992
http://www.tianshishequ.info	成功收听	49370
http://www.tianshishequ.info	成功收听	49286
http://www.tianshishequ.info	成功收听	49368
http://www.tianshishequ.info	成功收听	47241
http://www.tianshishequ.info	已经收听过了
http://www.tianshishequ.info	成功收听	24021
http://www.tianshishequ.info	成功收听	49357
http://www.tianshishequ.info	成功收听	46740
http://www.tianshishequ.info	成功收听	49364
http://www.tianshishequ.info	成功收听	49365
http://www.tianshishequ.info	成功收听	35024
http://www.tianshishequ.info	成功收听	49115
http://www.tianshishequ.info	成功收听	49363
http://www.tianshishequ.info	成功收听	49362
http://www.tianshishequ.info	成功收听	49366
http://www.tianshishequ.info	成功收听	49358
http://www.tianshishequ.info	成功收听	47897
http://www.tianshishequ.info	成功收听	46862
http://www.tianshishequ.info	成功收听	49359
http://www.tianshishequ.info	成功收听	39632
http://www.tianshishequ.info	成功收听	45123
http://www.tianshishequ.info	成功收听	29245
http://www.tianshishequ.info	成功收听	49354
http://www.tianshishequ.info	成功收听	49355
http://www.tianshishequ.info	成功收听	49351
http://www.tianshishequ.info	成功收听	49352
http://www.tianshishequ.info	成功收听	28260
http://www.tianshishequ.info	成功收听	49353
http://www.tianshishequ.info	成功收听	49348
http://www.tianshishequ.info	成功收听	49350
http://www.tianshishequ.info	成功收听	47409
http://www.tianshishequ.info	成功收听	23778
http://www.tianshishequ.info	成功收听	49345
http://www.tianshishequ.info	成功收听	49347
http://www.tianshishequ.info	成功收听	49295
http://www.tianshishequ.info	成功收听	49346
http://www.tianshishequ.info	成功收听	39844
http://www.tianshishequ.info	成功收听	49349
http://www.tianshishequ.info	成功收听	49343
http://www.tianshishequ.info	成功收听	49341
http://www.tianshishequ.info	成功收听	49282
http://www.tianshishequ.info	成功收听	46802
http://www.tianshishequ.info	成功收听	8571
http://www.tianshishequ.info	成功收听	44099
http://www.tianshishequ.info	成功收听	46463
http://www.tianshishequ.info	成功收听	49433
http://www.tianshishequ.info	成功收听	13966
http://www.tianshishequ.info	成功收听	49099
http://www.tianshishequ.info	成功收听	41790
http://www.tianshishequ.info	成功收听	49432
http://www.tianshishequ.info	成功收听	47347
http://www.tianshishequ.info	成功收听	31557
http://www.tianshishequ.info	成功收听	49431
http://www.tianshishequ.info	成功收听	49430
http://www.tianshishequ.info	成功收听	34633
http://www.tianshishequ.info	成功收听	24181
http://www.tianshishequ.info	成功收听	49434
http://www.tianshishequ.info	成功收听	49427
http://www.tianshishequ.info	成功收听	49429
http://www.tianshishequ.info	成功收听	48492
http://www.tianshishequ.info	成功收听	49426
http://www.tianshishequ.info	成功收听	49425
http://www.tianshishequ.info	成功收听	23798
http://www.tianshishequ.info	成功收听	35631
http://www.tianshishequ.info	成功收听	49418
http://www.tianshishequ.info	成功收听	49424
http://www.tianshishequ.info	成功收听	49423
http://www.tianshishequ.info	成功收听	21929
http://www.tianshishequ.info	成功收听	49412
http://www.tianshishequ.info	成功收听	49428
http://www.tianshishequ.info	成功收听	8237
http://www.tianshishequ.info	成功收听	49300
http://www.tianshishequ.info	成功收听	49420
http://www.tianshishequ.info	成功收听	49422
http://www.tianshishequ.info	成功收听	49419
http://www.tianshishequ.info	成功收听	49421
http://www.tianshishequ.info	成功收听	47890
http://www.tianshishequ.info	成功收听	49411
http://www.tianshishequ.info	成功收听	49415
http://www.tianshishequ.info	成功收听	33629
http://www.tianshishequ.info	成功收听	49414
http://www.tianshishequ.info	成功收听	49416
http://www.tianshishequ.info	成功收听	20888
http://www.tianshishequ.info	成功收听	49417
http://www.tianshishequ.info	成功收听	49413
http://www.tianshishequ.info	成功收听	35755
http://www.tianshishequ.info	成功收听	30679
http://www.tianshishequ.info	成功收听	49409
http://www.tianshishequ.info	成功收听	49407
http://www.tianshishequ.info	成功收听	40028
http://www.tianshishequ.info	成功收听	49408
http://www.tianshishequ.info	成功收听	49405
http://www.tianshishequ.info	成功收听	25499
http://www.tianshishequ.info	成功收听	49406
http://www.tianshishequ.info	成功收听	49402
http://www.tianshishequ.info	成功收听	49404
http://www.tianshishequ.info	成功收听	49400
http://www.tianshishequ.info	成功收听	33232
http://www.tianshishequ.info	成功收听	49399
http://www.tianshishequ.info	成功收听	49398
http://www.tianshishequ.info	成功收听	49403
http://www.tianshishequ.info	成功收听	4586
http://www.tianshishequ.info	成功收听	44821
http://www.tianshishequ.info	成功收听	36661
http://www.tianshishequ.info	成功收听	49410
http://www.tianshishequ.info	成功收听	49397
http://www.tianshishequ.info	成功收听	47011
http://www.tianshishequ.info	成功收听	49396
http://www.tianshishequ.info	成功收听	49394
http://www.tianshishequ.info	成功收听	49393
http://www.tianshishequ.info	成功收听	49401
http://www.tianshishequ.info	成功收听	49395
http://www.tianshishequ.info	成功收听	44883
http://www.tianshishequ.info	成功收听	49391
http://www.tianshishequ.info	成功收听	49392
http://www.tianshishequ.info	成功收听	49436
http://www.tianshishequ.info	成功收听	47055
http://www.tianshishequ.info	成功收听	46939
http://www.tianshishequ.info	成功收听	30859
http://www.tianshishequ.info	成功收听	48207
http://www.tianshishequ.info	成功收听	49274
http://www.tianshishequ.info	成功收听	15246
http://www.tianshishequ.info	成功收听	45327
http://www.tianshishequ.info	成功收听	49454
http://www.tianshishequ.info	成功收听	49455
http://www.tianshishequ.info	成功收听	49448
http://www.tianshishequ.info	成功收听	49453
http://www.tianshishequ.info	成功收听	49451
http://www.tianshishequ.info	成功收听	42264
