
2018-05-12 00:02:38	http://www.vrhd1080.co
http://www.vrhd1080.co	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.vrhd1080.co	成功收听	1239
http://www.vrhd1080.co	1239	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	1239	无任何返回结果，大多数情况下为发送成功
http://www.vrhd1080.co	1239	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	成功收听	4359
http://www.vrhd1080.co	4359	已发送蛮狼下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	4359	无任何返回结果，大多数情况下为发送成功
http://www.vrhd1080.co	4359	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	成功收听	4750
http://www.vrhd1080.co	4750	已发送大麦丁下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	4750	无任何返回结果，大多数情况下为发送成功
http://www.vrhd1080.co	4750	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	成功收听	4657
http://www.vrhd1080.co	4657	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	4657	无任何返回结果，大多数情况下为发送成功
http://www.vrhd1080.co	4657	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	成功收听	4818
http://www.vrhd1080.co	4818	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	4818	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	成功收听	4819
http://www.vrhd1080.co	4819	已发送我的天天天下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	4819	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	成功收听	4673
http://www.vrhd1080.co	4673	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	4673	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	成功收听	4820
http://www.vrhd1080.co	4820	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.vrhd1080.co	4820	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
