
2018-04-18 11:54:23	http://www.vrzyi.com
http://www.vrzyi.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
2018-04-18 12:07:35	http://www.vrzyi.com
http://www.vrzyi.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.vrzyi.com	已经收听过了
http://www.vrzyi.com	18545	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.vrzyi.com	18545	两次发送短消息太快请稍候再发送
http://www.vrzyi.com	18545	正在等待验证
http://www.vrzyi.com	成功收听	18546
http://www.vrzyi.com	18546	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.vrzyi.com	18546	无任何返回结果，大多数情况下为发送成功
http://www.vrzyi.com	18546	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.vrzyi.com	成功收听	18548
http://www.vrzyi.com	18548	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.vrzyi.com	18548	无任何返回结果，大多数情况下为发送成功
http://www.vrzyi.com	18548	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.vrzyi.com	成功收听	18549
http://www.vrzyi.com	18549	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.vrzyi.com	18549	无任何返回结果，大多数情况下为发送成功
http://www.vrzyi.com	18549	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
