
2018-04-18 12:09:45	http://www.xicxi.com
http://www.xicxi.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.xicxi.com	已经收听过了
http://www.xicxi.com	23383	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23383	无任何返回结果，大多数情况下为发送成功
http://www.xicxi.com	23383	正在等待验证
http://www.xicxi.com	已经收听过了
http://www.xicxi.com	21988	已发送一杯茶下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	21988	两次发送短消息太快请稍候再发送
http://www.xicxi.com	21988	正在等待验证
http://www.xicxi.com	成功收听	23384
http://www.xicxi.com	23384	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23384	无任何返回结果，大多数情况下为发送成功
http://www.xicxi.com	23384	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	2267
http://www.xicxi.com	2267	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	2267	无任何返回结果，大多数情况下为发送成功
http://www.xicxi.com	2267	正在等待验证
http://www.xicxi.com	成功收听	23385
http://www.xicxi.com	23385	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23385	无任何返回结果，大多数情况下为发送成功
http://www.xicxi.com	23385	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23386
http://www.xicxi.com	23386	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23386	无任何返回结果，大多数情况下为发送成功
http://www.xicxi.com	23386	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23388
http://www.xicxi.com	23388	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23388	无任何返回结果，大多数情况下为发送成功
http://www.xicxi.com	23388	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	已经收听过了
http://www.xicxi.com	23389	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23389	两次发送短消息太快请稍候再发送
http://www.xicxi.com	23389	正在等待验证
http://www.xicxi.com	成功收听	23390
http://www.xicxi.com	23390	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23390	两次发送短消息太快请稍候再发送
http://www.xicxi.com	23390	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23391
http://www.xicxi.com	23391	已发送风是不会哭的海下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23391	无任何返回结果，大多数情况下为发送成功
http://www.xicxi.com	23391	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	23392
http://www.xicxi.com	23392	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23392	两次发送短消息太快请稍候再发送
http://www.xicxi.com	23392	正在等待验证
http://www.xicxi.com	成功收听	23393
http://www.xicxi.com	23393	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	23393	无任何返回结果，大多数情况下为发送成功
http://www.xicxi.com	23393	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	成功收听	22790
http://www.xicxi.com	22790	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.xicxi.com	22790	两次发送短消息太快请稍候再发送
http://www.xicxi.com	22790	正在等待验证
