
2018-04-18 12:22:20	http://www.yipintangluntan.com
http://www.yipintangluntan.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.yipintangluntan.com	成功收听	240345
http://www.yipintangluntan.com	240345	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	240371
http://www.yipintangluntan.com	240371	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	240418
http://www.yipintangluntan.com	240418	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211782
http://www.yipintangluntan.com	211782	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211714
http://www.yipintangluntan.com	211714	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211582
http://www.yipintangluntan.com	211582	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211403
http://www.yipintangluntan.com	211403	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211332
http://www.yipintangluntan.com	211332	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211241
http://www.yipintangluntan.com	211241	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211790
http://www.yipintangluntan.com	211790	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211734
http://www.yipintangluntan.com	211734	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211614
http://www.yipintangluntan.com	211614	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211432
http://www.yipintangluntan.com	211432	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211362
http://www.yipintangluntan.com	211362	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211263
http://www.yipintangluntan.com	211263	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211110
http://www.yipintangluntan.com	211110	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211770
http://www.yipintangluntan.com	211770	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211643
http://www.yipintangluntan.com	211643	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211469
http://www.yipintangluntan.com	211469	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211374
http://www.yipintangluntan.com	211374	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211276
http://www.yipintangluntan.com	211276	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211190
http://www.yipintangluntan.com	211190	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211674
http://www.yipintangluntan.com	211674	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211494
http://www.yipintangluntan.com	211494	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211386
http://www.yipintangluntan.com	211386	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211292
http://www.yipintangluntan.com	211292	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211199
http://www.yipintangluntan.com	211199	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211704
http://www.yipintangluntan.com	211704	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211552
http://www.yipintangluntan.com	211552	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211397
http://www.yipintangluntan.com	211397	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211320
http://www.yipintangluntan.com	211320	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211223
http://www.yipintangluntan.com	211223	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211724
http://www.yipintangluntan.com	211724	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211601
http://www.yipintangluntan.com	211601	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211414
http://www.yipintangluntan.com	211414	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211340
http://www.yipintangluntan.com	211340	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211252
http://www.yipintangluntan.com	211252	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211170
http://www.yipintangluntan.com	211170	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211744
http://www.yipintangluntan.com	211744	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211630
http://www.yipintangluntan.com	211630	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211443
http://www.yipintangluntan.com	211443	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211368
http://www.yipintangluntan.com	211368	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211269
http://www.yipintangluntan.com	211269	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211174
http://www.yipintangluntan.com	211174	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211773
http://www.yipintangluntan.com	211773	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211661
http://www.yipintangluntan.com	211661	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211474
http://www.yipintangluntan.com	211474	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211378
http://www.yipintangluntan.com	211378	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211285
http://www.yipintangluntan.com	211285	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211194
http://www.yipintangluntan.com	211194	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211142
http://www.yipintangluntan.com	211142	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211122
http://www.yipintangluntan.com	211122	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211692
http://www.yipintangluntan.com	211692	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211502
http://www.yipintangluntan.com	211502	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211392
http://www.yipintangluntan.com	211392	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211298
http://www.yipintangluntan.com	211298	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211210
http://www.yipintangluntan.com	211210	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211712
http://www.yipintangluntan.com	211712	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211580
http://www.yipintangluntan.com	211580	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211401
http://www.yipintangluntan.com	211401	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211330
http://www.yipintangluntan.com	211330	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211234
http://www.yipintangluntan.com	211234	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211124
http://www.yipintangluntan.com	211124	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211733
http://www.yipintangluntan.com	211733	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211612
http://www.yipintangluntan.com	211612	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211430
http://www.yipintangluntan.com	211430	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211360
http://www.yipintangluntan.com	211360	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211261
http://www.yipintangluntan.com	211261	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211171
http://www.yipintangluntan.com	211171	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211764
http://www.yipintangluntan.com	211764	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211641
http://www.yipintangluntan.com	211641	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211467
http://www.yipintangluntan.com	211467	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211373
http://www.yipintangluntan.com	211373	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211274
http://www.yipintangluntan.com	211274	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211179
http://www.yipintangluntan.com	211179	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211672
http://www.yipintangluntan.com	211672	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211492
http://www.yipintangluntan.com	211492	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211382
http://www.yipintangluntan.com	211382	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211290
http://www.yipintangluntan.com	211290	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211197
http://www.yipintangluntan.com	211197	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211112
http://www.yipintangluntan.com	211112	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211702
http://www.yipintangluntan.com	211702	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211550
http://www.yipintangluntan.com	211550	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211396
http://www.yipintangluntan.com	211396	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211304
http://www.yipintangluntan.com	211304	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211221
http://www.yipintangluntan.com	211221	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211722
http://www.yipintangluntan.com	211722	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211592
http://www.yipintangluntan.com	211592	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211412
http://www.yipintangluntan.com	211412	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211334
http://www.yipintangluntan.com	211334	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211250
http://www.yipintangluntan.com	211250	无任何返回结果，大多数情况下为发送成功
http://www.yipintangluntan.com	成功收听	211166
http://www.yipintangluntan.com	211166	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211742
http://www.yipintangluntan.com	211742	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211623
http://www.yipintangluntan.com	211623	两次发送短消息太快请稍候再发送
http://www.yipintangluntan.com	成功收听	211441
http://www.yipintangluntan.com	成功收听	211366
http://www.yipintangluntan.com	成功收听	211267
http://www.yipintangluntan.com	成功收听	211172
http://www.yipintangluntan.com	成功收听	211140
http://www.yipintangluntan.com	成功收听	211114
http://www.yipintangluntan.com	成功收听	211772
http://www.yipintangluntan.com	成功收听	211652
http://www.yipintangluntan.com	成功收听	211472
http://www.yipintangluntan.com	成功收听	211377
http://www.yipintangluntan.com	成功收听	211283
http://www.yipintangluntan.com	成功收听	211192
http://www.yipintangluntan.com	成功收听	211690
http://www.yipintangluntan.com	成功收听	211500
http://www.yipintangluntan.com	成功收听	211390
http://www.yipintangluntan.com	成功收听	211296
http://www.yipintangluntan.com	成功收听	211203
http://www.yipintangluntan.com	成功收听	211711
http://www.yipintangluntan.com	成功收听	211562
http://www.yipintangluntan.com	成功收听	211399
http://www.yipintangluntan.com	成功收听	211324
