
2018-05-12 00:04:46	http://www.ynxbbs.com
http://www.ynxbbs.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员', '网盘发布组', 'VIP视频发布组']
http://www.ynxbbs.com	成功收听	13304
http://www.ynxbbs.com	成功收听	22837
http://www.ynxbbs.com	已经收听过了
http://www.ynxbbs.com	已经收听过了
http://www.ynxbbs.com	已经收听过了
http://www.ynxbbs.com	已经收听过了
http://www.ynxbbs.com	已经收听过了
http://www.ynxbbs.com	已经收听过了
http://www.ynxbbs.com	已经收听过了
http://www.ynxbbs.com	已经收听过了
http://www.ynxbbs.com	已经收听过了
http://www.ynxbbs.com	已经收听过了
http://www.ynxbbs.com	已经收听过了
http://www.ynxbbs.com	已经收听过了
http://www.ynxbbs.com	成功收听	15505
http://www.ynxbbs.com	成功收听	17025
http://www.ynxbbs.com	成功收听	22838
http://www.ynxbbs.com	成功收听	20238
http://www.ynxbbs.com	成功收听	22839
http://www.ynxbbs.com	成功收听	22118
http://www.ynxbbs.com	成功收听	22840
http://www.ynxbbs.com	成功收听	16341
http://www.ynxbbs.com	成功收听	14189
http://www.ynxbbs.com	成功收听	22841
http://www.ynxbbs.com	成功收听	18953
http://www.ynxbbs.com	成功收听	15552
http://www.ynxbbs.com	成功收听	17424
http://www.ynxbbs.com	成功收听	13155
http://www.ynxbbs.com	成功收听	22759
http://www.ynxbbs.com	成功收听	17537
http://www.ynxbbs.com	成功收听	17134
http://www.ynxbbs.com	成功收听	17251
http://www.ynxbbs.com	成功收听	16844
http://www.ynxbbs.com	成功收听	20623
http://www.ynxbbs.com	成功收听	21588
http://www.ynxbbs.com	成功收听	21514
http://www.ynxbbs.com	成功收听	19660
http://www.ynxbbs.com	成功收听	22842
http://www.ynxbbs.com	成功收听	22023
http://www.ynxbbs.com	成功收听	22843
http://www.ynxbbs.com	成功收听	11791
http://www.ynxbbs.com	成功收听	22699
http://www.ynxbbs.com	成功收听	12169
http://www.ynxbbs.com	成功收听	22340
http://www.ynxbbs.com	成功收听	12976
http://www.ynxbbs.com	成功收听	22844
http://www.ynxbbs.com	成功收听	20193
http://www.ynxbbs.com	成功收听	13218
http://www.ynxbbs.com	成功收听	21794
http://www.ynxbbs.com	成功收听	22341
http://www.ynxbbs.com	成功收听	15932
http://www.ynxbbs.com	成功收听	22845
http://www.ynxbbs.com	成功收听	22525
http://www.ynxbbs.com	成功收听	22846
http://www.ynxbbs.com	成功收听	14808
http://www.ynxbbs.com	成功收听	19259
http://www.ynxbbs.com	成功收听	22847
http://www.ynxbbs.com	成功收听	17307
http://www.ynxbbs.com	成功收听	13751
http://www.ynxbbs.com	成功收听	16069
http://www.ynxbbs.com	成功收听	21581
http://www.ynxbbs.com	成功收听	22848
http://www.ynxbbs.com	成功收听	22849
