
2018-04-18 12:16:02	http://www.yuhu777.cn
http://www.yuhu777.cn	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.yuhu777.cn	成功收听	13372
http://www.yuhu777.cn	13372	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.yuhu777.cn	13372	无任何返回结果，大多数情况下为发送成功
http://www.yuhu777.cn	13372	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.yuhu777.cn	成功收听	6050
http://www.yuhu777.cn	6050	已发送胁底下插柴下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.yuhu777.cn	6050	无任何返回结果，大多数情况下为发送成功
http://www.yuhu777.cn	6050	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.yuhu777.cn	成功收听	13378
http://www.yuhu777.cn	13378	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.yuhu777.cn	13378	无任何返回结果，大多数情况下为发送成功
http://www.yuhu777.cn	13378	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.yuhu777.cn	成功收听	13379
http://www.yuhu777.cn	13379	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.yuhu777.cn	13379	无任何返回结果，大多数情况下为发送成功
http://www.yuhu777.cn	13379	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.yuhu777.cn	成功收听	13382
http://www.yuhu777.cn	13382	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.yuhu777.cn	13382	无任何返回结果，大多数情况下为发送成功
http://www.yuhu777.cn	13382	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
