
2018-04-18 12:17:38	http://www.zayw1.com
http://www.zayw1.com	管理组：['原味美女管理员', '原味网永久会员', '版主', '原味妹妹', '网站编辑', '信息监察员', '原味网季度会员', '原味网年费会员']
http://www.zayw1.com	已经收听过了
http://www.zayw1.com	成功收听	6787
http://www.zayw1.com	成功收听	137669
http://www.zayw1.com	成功收听	109819
http://www.zayw1.com	成功收听	137671
http://www.zayw1.com	成功收听	137672
http://www.zayw1.com	成功收听	65819
http://www.zayw1.com	成功收听	137674
http://www.zayw1.com	成功收听	137675
http://www.zayw1.com	成功收听	105711
http://www.zayw1.com	成功收听	137676
http://www.zayw1.com	成功收听	137678
http://www.zayw1.com	成功收听	137679
http://www.zayw1.com	成功收听	137680
http://www.zayw1.com	成功收听	18964
http://www.zayw1.com	成功收听	52697
http://www.zayw1.com	成功收听	39054
http://www.zayw1.com	成功收听	49640
http://www.zayw1.com	成功收听	137684
http://www.zayw1.com	成功收听	3288
http://www.zayw1.com	成功收听	137685
http://www.zayw1.com	成功收听	137686
http://www.zayw1.com	成功收听	137687
http://www.zayw1.com	成功收听	137688
http://www.zayw1.com	成功收听	137689
http://www.zayw1.com	成功收听	137690
http://www.zayw1.com	成功收听	137692
http://www.zayw1.com	成功收听	52623
http://www.zayw1.com	成功收听	137693
http://www.zayw1.com	成功收听	125874
http://www.zayw1.com	成功收听	137694
http://www.zayw1.com	成功收听	71552
http://www.zayw1.com	成功收听	137696
http://www.zayw1.com	成功收听	796
http://www.zayw1.com	成功收听	19837
http://www.zayw1.com	成功收听	85400
http://www.zayw1.com	成功收听	105547
