
2018-04-18 12:17:53	http://www.zgsglp.com
http://www.zgsglp.com	管理组：['管理员', '超级版主', '版主', '实习版主', '编辑委员', '学术委员', '主持人', '编辑', '群主', '认证机构', '评审委员', '论坛管理员']
http://www.zgsglp.com	成功收听	253947
http://www.zgsglp.com	成功收听	233212
http://www.zgsglp.com	成功收听	217486
http://www.zgsglp.com	成功收听	246452
http://www.zgsglp.com	成功收听	250772
http://www.zgsglp.com	成功收听	252766
http://www.zgsglp.com	成功收听	135450
http://www.zgsglp.com	成功收听	253948
http://www.zgsglp.com	成功收听	253949
http://www.zgsglp.com	成功收听	24628
http://www.zgsglp.com	成功收听	253950
http://www.zgsglp.com	成功收听	253951
http://www.zgsglp.com	成功收听	133164
http://www.zgsglp.com	成功收听	253952
http://www.zgsglp.com	成功收听	253953
http://www.zgsglp.com	成功收听	253954
http://www.zgsglp.com	成功收听	253955
http://www.zgsglp.com	已经收听过了
http://www.zgsglp.com	成功收听	253957
http://www.zgsglp.com	成功收听	253958
http://www.zgsglp.com	成功收听	7429
http://www.zgsglp.com	成功收听	253959
http://www.zgsglp.com	已经收听过了
http://www.zgsglp.com	成功收听	253961
http://www.zgsglp.com	成功收听	253962
http://www.zgsglp.com	成功收听	253964
http://www.zgsglp.com	成功收听	253963
http://www.zgsglp.com	已经收听过了
http://www.zgsglp.com	成功收听	253966
http://www.zgsglp.com	成功收听	253967
http://www.zgsglp.com	成功收听	251709
http://www.zgsglp.com	成功收听	253968
http://www.zgsglp.com	成功收听	5027
http://www.zgsglp.com	成功收听	253969
http://www.zgsglp.com	成功收听	253970
http://www.zgsglp.com	成功收听	253971
http://www.zgsglp.com	成功收听	34261
http://www.zgsglp.com	成功收听	253972
http://www.zgsglp.com	成功收听	253973
http://www.zgsglp.com	成功收听	253974
http://www.zgsglp.com	成功收听	253975
http://www.zgsglp.com	成功收听	253976
http://www.zgsglp.com	成功收听	253977
http://www.zgsglp.com	成功收听	2419
http://www.zgsglp.com	成功收听	246696
http://www.zgsglp.com	成功收听	226557
http://www.zgsglp.com	成功收听	253978
http://www.zgsglp.com	成功收听	253979
http://www.zgsglp.com	成功收听	68027
http://www.zgsglp.com	成功收听	253980
http://www.zgsglp.com	成功收听	253981
http://www.zgsglp.com	成功收听	253982
http://www.zgsglp.com	成功收听	253983
http://www.zgsglp.com	成功收听	1786
http://www.zgsglp.com	成功收听	173774
http://www.zgsglp.com	成功收听	251553
http://www.zgsglp.com	成功收听	253984
http://www.zgsglp.com	成功收听	253985
http://www.zgsglp.com	成功收听	110116
http://www.zgsglp.com	成功收听	253986
http://www.zgsglp.com	成功收听	253987
http://www.zgsglp.com	成功收听	253988
http://www.zgsglp.com	成功收听	181412
http://www.zgsglp.com	成功收听	85176
http://www.zgsglp.com	成功收听	53840
http://www.zgsglp.com	成功收听	253149
http://www.zgsglp.com	成功收听	253989
http://www.zgsglp.com	成功收听	253990
http://www.zgsglp.com	成功收听	253991
http://www.zgsglp.com	成功收听	253992
http://www.zgsglp.com	成功收听	253993
http://www.zgsglp.com	成功收听	253994
http://www.zgsglp.com	成功收听	32900
http://www.zgsglp.com	成功收听	179766
http://www.zgsglp.com	成功收听	250618
http://www.zgsglp.com	成功收听	253995
http://www.zgsglp.com	成功收听	225053
http://www.zgsglp.com	成功收听	27851
http://www.zgsglp.com	成功收听	253997
http://www.zgsglp.com	成功收听	232030
http://www.zgsglp.com	成功收听	253999
http://www.zgsglp.com	成功收听	254010
http://www.zgsglp.com	成功收听	254009
http://www.zgsglp.com	成功收听	254008
http://www.zgsglp.com	成功收听	254016
http://www.zgsglp.com	成功收听	254015
http://www.zgsglp.com	成功收听	167502
http://www.zgsglp.com	成功收听	254014
http://www.zgsglp.com	成功收听	254013
http://www.zgsglp.com	成功收听	254028
http://www.zgsglp.com	成功收听	254027
http://www.zgsglp.com	成功收听	63994
http://www.zgsglp.com	成功收听	254042
